Accession,Species Names01,Gene Symbol01,Control 2h,Control 2h_2,Control 2h_3,Control 6h_1,Control 6h_2,Control 6h_3,Control 10h_1 ,Control 10h_2,Control 10h_3,Control 24h_1,Control 24h_2,Control 24h_3,Virus 2h_1,Virus 2h_2,Virus 2h_3,Virus 6h_1,Virus 6h_2,Virus 6h_3,Virus 10h_1,Virus 10h_2,Virus 10h_3,Virus 24h_1,Virus 24h_2,Virus 24h_3,Ratio 2h,Ratio 6h,Ratio 10h ,Ratio 24h,P value 2h,P value 6h,P value 10h,P value 24h
P02771,Homo sapiens OX=9606,AFP,981.258045317596,1183.17593910467,1440.32621614871,1205.24951424382,1338.17798464116,1286.49107071344,925.301366413493,887.729720600789,647.200761394332,844.290853768466,886.532318483745,1048.97541399802,679.580649791384,1012.00259555691,1368.80711520671,1080.08834199352,834.725898953656,1137.06431639562,801.446268707653,879.117741819145,557.265749611494,0,49.1764303035979,74.5364149360371,-0.236187606201737,-0.327616163890609,-0.136693989877978,-4.48991314467578,0.490451052678414,0.061288508058535,0.599956122709825,0.000179858368884
P07148,Homo sapiens OX=9606,FABP1,1305.00922953729,1280.0498170595,1210.80048059004,1154.27796719089,1100.74950532526,923.312640329633,773.390081924742,751.006612758811,305.276061497705,938.899081691599,886.075221586499,842.460814866821,1049.76778839906,1183.20533858448,1124.47684832422,925.532469525509,823.233662243264,749.227121688883,717.087658104245,652.713591816126,289.565529282029,183.254575330793,90.0283236109518,0,-0.177060699523806,-0.347503934597746,-0.140952831607995,-3.28698609066931,0.037763437563103,0.058714380545135,0.792981564876088,0.000182299284904
P09327,Homo sapiens OX=9606,VIL1,839.773511291593,1031.0836928249,972.479004560628,860.300797356846,988.012893606758,962.336145861748,753.439584784082,913.424345460621,701.528246883615,802.704246401739,1003.93975501646,957.793516546344,690.143581172819,926.631237885949,944.39910513185,688.074438620773,777.868392126813,848.89813715962,504.955960454433,562.044978895759,447.058216242128,90.9772741846872,89.1129556902349,73.8229096631407,-0.150779472966452,-0.279990645420077,-0.645486419855405,-3.44457900530558,0.398440699811411,0.052874208787605,0.016658359187392,0.000164669180873
P05783,Homo sapiens OX=9606,KRT18,604.78028378914,727.433897255494,784.113305030084,1264.89504510455,1318.04764048572,1405.87444444159,1297.24952837441,1524.47057372239,1584.57714213201,472.917844778749,504.539737474582,535.438636742783,537.292892175372,714.697008050495,727.531505268223,1154.75539128131,1313.36313288914,1473.80552938621,1160.94466961763,1270.88253081014,1517.59173378872,247.290183959992,377.705065666157,665.080284110933,-0.096411223156133,-0.017061002431639,-0.157926411381593,-0.229857487866453,0.603718594049519,0.884343556076815,0.328674607394971,0.583561154943817
Q9P2E9,Homo sapiens OX=9606,,686.321977814488,636.582512237892,668.096981537377,828.087136558746,794.704113071914,671.98737845196,631.514052515602,603.273332609091,533.51009037645,594.334879765607,561.067395261328,550.510550992231,575.947050409437,587.283343205863,649.351625933521,758.979757143526,621.984515118182,668.221310491313,487.392171862799,456.258479087781,359.009652159149,148.44246241953,103.232566151825,135.262874692244,-0.135448008659797,-0.163304340223509,-0.440900076534852,-2.14036996242386,0.092775339813056,0.258607911063547,0.032700276097947,1.99439003264675E-05
P09525,Homo sapiens OX=9606,ANXA4,658.811318905322,602.019906384867,617.299110478362,710.426879676829,666.99016704248,627.434836751262,657.741191426996,667.82852677505,547.151209331576,1346.82732761757,1261.91626139241,1161.81139216483,619.352470804368,631.125367958476,602.465552822463,607.758090267461,556.56356252659,620.990275283434,557.949696934972,549.503618127598,480.234840650222,164.152240154242,182.159981451917,328.391076930277,-0.019478377595525,-0.167319493051081,-0.238208350790392,-2.48245176668466,0.67980091504551,0.077537986767289,0.106842409301524,0.000158213542289
P05787,Homo sapiens OX=9606,KRT8,485.252737784141,387.935703197322,579.114302143888,921.490994994735,604.649218909088,859.758948669079,833.482194593518,672.749364483661,894.516941263997,418.958816085379,257.868457846872,438.543886407777,497.750245874685,374.13551832313,551.167324179612,797.679953541969,627.628053446735,902.526621563391,780.082463815173,517.34691328404,784.888836393452,557.075381048921,336.874570264357,439.655254962342,-0.029352741005469,-0.035544498844195,-0.205293722683837,0.257807768156237,0.904266070235729,0.885154742956612,0.390760989245142,0.443177751264912
Q9H3R2,Homo sapiens OX=9606,MUC13,496.088120801872,485.892872194639,480.958477434573,413.705461782884,371.143724127701,332.583583091162,213.913453750658,180.680285169835,124.340498898843,245.548965429629,197.903941080919,184.832546512157,566.09779229871,509.907947209428,505.342562827156,399.914916504384,376.837919702636,378.371406088265,179.79268389501,128.616051955291,101.43892578951,61.3344748739058,0,17.0791254002818,0.112285086979372,0.047859999257271,-0.340463957258065,-3.00224437088062,0.120189647983494,0.636218525462146,0.355059807102645,0.002125461407115
Q12864,Homo sapiens OX=9606,CDH17,530.905416492918,430.009576947525,501.978988517295,618.433204710093,499.019104586112,547.755794991363,557.375619645986,446.103672111648,461.499413165546,433.230956298732,352.762264508505,393.0391000693,477.097193147327,421.661997913549,451.543756777874,526.738080486496,448.282031701873,497.174214620898,397.093767951618,329.619189033256,333.27012279518,45.7849002384288,43.5324606758112,35.7011466817729,-0.115542098968915,-0.177734368036902,-0.4668384580147,-3.23738967681257,0.331675949195386,0.196289161612401,0.030436789112137,0.000115221180741
P17931,Homo sapiens OX=9606,LGALS3,520.866102272944,450.650736893362,472.651452473849,837.127093481839,707.691529850575,712.222382584655,656.333390065218,645.539652069659,612.02507949003,285.713771476453,299.701640671355,272.31860550259,447.471680905137,458.91878192731,434.981475544246,692.147150479075,731.739493459665,729.624808966903,529.81633239632,470.742572833526,492.193427860615,110.388913367619,97.0968933688027,112.975204664016,-0.106529545811837,-0.067741633440219,-0.358539212452025,-1.42038149564302,0.192016081827591,0.479648457315296,0.003000970407831,4.3052944083922E-05
P01009,Homo sapiens OX=9606,SERPINA1,351.317673816257,361.567260157636,476.5210443319,484.360768951875,480.239309755555,558.96285435631,441.320484320177,475.532047350917,546.763012227174,401.967310917295,462.65702909916,464.233956400201,330.273479019575,353.966336921668,415.791529381907,404.631878547879,398.231795848995,501.377994686663,355.419386626034,325.996267780337,405.130908771689,0,0,104.441184892631,-0.112696598417429,-0.224237875848776,-0.429786641078162,-3.66942463473857,0.56492087971157,0.157059923613644,0.031447005546264,0.000540246868559
O75874,Homo sapiens OX=9606,IDH1,475.203123597376,367.64494372951,487.38824908141,460.437563644226,369.284492957894,402.744903976303,463.586919230568,381.152595954399,280.024777707408,746.330871815986,596.461066342317,734.340378097232,335.088269572272,312.769320319301,410.202194613292,358.298934758141,225.011442764714,325.113909466091,350.723987744966,299.268837325757,223.816462934285,106.076482993213,151.145468373001,149.261231887137,-0.33026141553682,-0.440110789453066,-0.364232354162502,-2.35332554837038,0.132484890808211,0.088069730454408,0.265161299415558,0.000378107696021
Q7Z3J2,Homo sapiens OX=9606,C16orf62,579.136248193977,461.515504119353,463.754644666214,501.191280755841,456.758928658094,427.801899469776,540.322013610186,489.312557462732,474.392666261232,448.475323031626,387.640767307754,360.103812611182,521.9614050772,428.56229340065,410.167338146175,449.744316603531,425.022645535981,383.83083732657,508.934639917357,426.12627218103,512.296825086296,837.552930044582,873.601689972533,779.230796937053,-0.14485482554798,-0.138851877552869,-0.05540914321387,1.05788640712779,0.409229766411407,0.214088652203005,0.613455471375677,0.000340305453625
P02766,Homo sapiens OX=9606,TTR,398.921850403553,442.859717566733,447.800186404693,479.701899896355,502.439247783201,407.207385622532,397.268528397685,357.996769896664,228.880737764575,341.966228785004,319.704064553707,346.310824314194,251.319242457646,351.434823617743,397.438739196633,422.558388119402,315.555037598286,361.768293549722,246.613081906821,220.281354043567,152.952631551915,0,0,30.7812780328706,-0.366625104779256,-0.337060175195204,-0.66696010218585,-5.03327166975679,0.103182134769985,0.084406581256151,0.104426121519134,1.58133595631749E-05
O75369,Homo sapiens OX=9606,FLNB,363.695006406503,252.51678464872,316.921790173743,485.938894448418,417.736986764628,464.684926381347,249.357889824118,153.460597109798,188.317610676726,273.359961521891,116.156711818872,263.097805698105,434.677425422967,310.840829687044,365.365508630417,495.611977109246,368.81657713112,468.277145082519,299.428892099443,126.57823663565,216.283952635098,160.306220964901,171.404505922458,287.239733617579,0.251552341959584,-0.038090462298613,0.119736942653419,-0.07640705193445,0.286295879636781,0.798106270714251,0.780612101575684,0.871331505796015
P0DMV9,Homo sapiens OX=9606,HSPA1B; HSPA1A,183.284413490632,330.628874507591,309.719532811126,248.146367439524,415.056134372561,479.640249858116,177.061992753163,303.086115417543,318.708261240094,108.299639497271,175.616871930307,168.419491777115,254.83287952119,286.597119771576,361.280137556401,291.657219366634,429.688209277298,472.882940361656,165.584583130746,218.185639366757,225.72706382553,151.510094459136,181.807012783119,232.033922384239,0.132261487178679,0.063451834592184,-0.390316339218211,0.321752092863554,0.661286217818447,0.855153118904838,0.264385353653161,0.300816447400291
P36578,Homo sapiens OX=9606,RPL4,209.724093725765,221.583875648974,335.249053066785,359.131394699686,336.944316871987,443.579475195207,399.274588573361,402.98481585852,532.110685532784,194.182143343347,244.544356344912,338.78071583741,197.129500272484,207.417322111713,345.013404956156,317.619178947555,302.080155515221,428.374635478577,325.893232284506,314.768774638333,425.871767095676,65.5070306196269,120.053705759556,238.619392408461,-0.032348710977917,-0.120856848071748,-0.323229203755797,-0.874179026274042,0.93184465561797,0.58414286992199,0.18717845363384,0.150714192333862
P14923,Homo sapiens OX=9606,JUP,304.720558334993,269.457072077118,265.181628515587,286.239636159582,279.68960417804,273.452736922202,183.313032564808,188.727235003184,158.905203457398,282.176369523152,268.460251892789,281.429762179995,272.634050189635,273.344189092695,287.861345180747,226.595941464153,221.947644840611,233.38698221001,131.538062281246,122.732981099544,116.039114741069,90.5195470749317,25.7666145325445,40.8190084348781,-0.009518576821658,-0.299702629616972,-0.519829576299184,-2.40496797563643,0.897988139850846,0.000453491295734,0.006324796881312,0.000360210536074
P12277,Homo sapiens OX=9606,CKB,277.177429091446,178.985743517086,228.232809967038,188.562049925703,95.3461844894075,177.293948511723,150.434828656347,81.6755240743498,162.796748247368,309.500542611221,260.559558723784,218.633092612042,348.371116578973,251.251849832547,284.25273942893,170.99806034191,137.429955679328,187.409719005376,119.658073618738,19.4175362323332,175.535704512384,132.211911468496,73.5113373570017,345.647503651025,0.369012215106179,0.104468728400353,-0.327942754378281,-0.516441451490875,0.173493542738639,0.742991013745586,0.635004763857253,0.413420704425345
O14745,Homo sapiens OX=9606,SLC9A3R1,168.430391053821,266.903245256644,271.59275705586,170.427022909051,247.90808098012,253.011828818003,146.864360171623,226.853503097041,205.483432385379,276.194965224338,296.000174907921,344.450970279181,140.822648043566,209.324610753502,274.751874883806,143.400475124285,210.539938618995,243.007831905148,80.6694329439135,141.223559707326,142.28351696674,23.1672452414079,13.1508582881739,82.6964023418811,-0.1779366664288,-0.169452644446574,-0.669426962150081,-2.94522743542593,0.62192408778178,0.56581054182647,0.084588401203946,0.00086148274361
P00352,Homo sapiens OX=9606,ALDH1A1,258.689308746258,245.115134997692,318.356923029026,314.675593924393,275.109533329791,270.80197674182,227.021436843254,221.169314999951,159.571841462223,326.246847890694,310.038302380262,328.140281682677,210.334534042538,231.795823919409,273.382469208547,214.974055295762,196.827599057682,231.317358079355,123.220397521483,139.53138966319,103.251606234355,20.0921446114551,0,39.0845112187549,-0.20044395076788,-0.420235481196429,-0.731650857715994,-4.02656962050531,0.289344779848174,0.013407334590832,0.02832506413425,1.83876860628479E-05
P30101,Homo sapiens OX=9606,PDIA3,63.0109884682476,0,264.368802518411,79.2458913234434,74.6262120765621,351.28126719491,99.4604029981725,60.208676513155,239.288272721069,98.7308805861522,44.9703458692893,293.174399291871,17.9096184157957,0,269.23712653338,50.9040500197297,0,294.231943629835,0,0,173.656636779588,18.1200090706996,71.1488567565601,389.428582736494,-0.189177059967732,-0.549556535964935,-1.19999698494121,0.131891499681508,0.91494675113155,0.700178726155931,0.397778043923593,0.924560194499931
P35900,Homo sapiens OX=9606,KRT20,266.108869627656,221.069931544974,321.206501195749,407.440798090418,315.700251070573,397.670405578882,259.342643925642,224.760816123568,265.391306121057,48.2177923846682,13.3541434281552,42.579347494497,225.101653171513,217.297733823179,266.367996361329,331.271317656247,319.560231855585,415.291197365093,184.264306635768,152.463845594558,189.178581393661,0,0,24.3922248721294,-0.189730877355946,-0.072170054584097,-0.51111143469266,-2.09418735490376,0.367488353114779,0.685912198905759,0.012089954418401,0.12070574909753
P11021,Homo sapiens OX=9606,HSPA5,31.402301483182,186.77114626063,281.250941928683,210.459699275873,223.717824143636,424.958774008644,84.0276572106862,237.133462440433,322.963226311682,7.77166865188927,116.827985460914,190.068062933088,67.3017503532849,104.969377702752,248.831538103121,176.503102866577,216.663600450165,418.734908307735,43.5544517805049,102.049905660426,205.177217174213,0,310.363363584293,170.059554678001,-0.246094268034554,-0.081582117037796,-0.876766252661958,0.610475800837765,0.789463813177119,0.884961960672984,0.310863916809345,0.623995633008722
Q09666,Homo sapiens OX=9606,AHNAK,157.398566408906,367.492770574351,346.786487821313,48.6879138748639,217.486215704421,376.611045595792,0,113.325308229217,232.480736264307,9.2008091031011,187.221517263999,210.309264231024,0,243.511110224854,246.008908511946,20.1669243003554,105.212545748964,368.970971085064,0,0,0,80.5179826669899,446.908440096597,613.75268975102,-0.832427148842685,-0.378802536282986,Err:502,1.48837629249362,0.293684305766784,0.744021885199659,0.161040870425999,0.22285578855515
P07305,Homo sapiens OX=9606,H1F0,234.491869621947,239.651610642497,242.688767549015,142.406691132015,153.918482839275,152.753858465753,127.486397661787,162.803995431066,131.904818148201,381.12946963359,480.731467327206,434.262177223029,186.61797361424,239.875913333319,237.010182472465,101.518457454861,120.580249793217,112.757276226074,103.243497631358,126.684202570215,125.755476110457,50.5985510783621,64.6859398328489,81.3175333633571,-0.111530226738957,-0.423428616548696,-0.247317477925724,-2.72085267997081,0.366187906022113,0.004562387249647,0.175786628742719,0.000261526035046
P02647,Homo sapiens OX=9606,APOA1,367.68184965924,336.986542255916,248.334749595429,302.97032520947,269.335932311068,204.84545112952,275.946842785937,290.079364914138,195.771755555241,351.59316817688,359.896039533692,262.467873851232,294.908950077026,274.505602611914,227.303923259231,263.171074069501,232.92648610995,222.76817749284,173.975326295749,144.600392950157,112.479471510395,0,0,0,-0.258410938400777,-0.112473912104805,-0.821535832088891,Err:502,0.272752655509779,0.567713807175579,0.03250829770603,0.000480816344528
P04406,Homo sapiens OX=9606,GAPDH,267.361201772647,209.453367538397,214.161110797394,397.957717002583,231.371976519141,483.199733401585,413.448487372189,398.049356506605,556.373609826227,552.334899226155,502.962952990181,601.199901094522,298.091437209955,224.250008349176,225.668602573349,240.386658701699,220.249818458515,422.721161387343,435.02617111948,381.959546246351,615.84659412806,397.630243286782,804.432229494194,1064.73246503267,0.114422716422463,-0.332773941893231,0.066937117988672,0.452517639040593,0.568621152559082,0.479478984281844,0.815506335421556,0.358317384567418
P04181,Homo sapiens OX=9606,OAT,188.664183209634,190.541573655844,227.886907258166,166.658135728228,165.355064670608,174.08495372037,156.995073714519,167.065061068955,133.184100268849,558.012634546681,550.390618974867,644.253491102451,147.057011150644,170.69776814351,224.423179840545,130.069607334961,115.054358419185,155.347968698181,94.1374276934542,98.4747891504277,84.3781697764023,6.34141763884851,34.545314241688,47.9722230001836,-0.163150275045107,-0.337716072047217,-0.723129074369671,-4.30188249061394,0.455474892262802,0.043341620079848,0.005242751760251,6.9181257861971E-05
P16403,Homo sapiens OX=9606,HIST1H1C,227.632782429854,245.371566214643,237.228358527485,223.453423355501,182.146526327873,170.280366952131,174.030791745554,175.026349502809,122.39459814713,617.655873488481,750.047014242869,694.916947824648,192.095221381407,201.09025013477,222.546375052661,162.808600996583,131.874180046932,157.155441678879,155.127719134404,147.850802287773,131.704138814801,129.102371742948,111.713585466936,87.8813407445868,-0.205989611116327,-0.349962693141717,-0.117147548855491,-2.64964643856567,0.038667001889518,0.091659274755553,0.548138907792188,0.000136156192054
Q15459,Homo sapiens OX=9606,SF3A1,164.699263014466,164.836783361634,190.350447859432,178.952752245572,159.058293229955,181.557187349854,204.792213030335,210.147523336375,231.174499352584,195.918290742078,188.901141016386,202.996262970137,186.818100954804,175.923810781619,211.457620190234,186.867109751658,175.102823155117,211.869943325269,205.051521343543,175.632780149933,175.212910655118,245.422931195771,270.813659337735,309.58198648633,0.143355477546679,0.143334999755986,-0.216971115113979,0.490460993124821,0.252008304621604,0.235297820657384,0.077667292389836,0.014201945983414
P54886,Homo sapiens OX=9606,ALDH18A1,161.131062889046,146.27164237697,185.568734597026,169.247294370795,119.78127602856,142.085657170123,146.905161564967,115.699364265011,120.200062006412,217.979550175143,217.50182327035,175.255043841209,175.699437268689,142.837547482421,207.458230807573,149.830591998809,102.955730917563,123.464828338454,135.619239059083,83.7138362561121,111.291036140386,15.8129371854654,22.9886014354186,96.7040418569325,0.093545609888515,-0.196374178672112,-0.211416180315613,-2.17219760666821,0.641507346183797,0.406084161340882,0.385714463586321,0.00579112264942
Q96I99,Homo sapiens OX=9606,SUCLG2,122.289832480491,106.702499457667,189.255500291256,149.315970858107,107.026588659558,174.737195198664,125.969610999,93.5239618752328,130.433967280269,186.389236488153,153.368126819948,206.283554787585,110.842655545594,105.711648151962,205.726408634857,117.173023517409,85.8908293504569,160.860489195209,112.981515106108,65.6138241620619,125.335057751728,95.3041683662109,58.3666556646215,120.938667264385,0.013844290739589,-0.244316256233016,-0.203315242206137,-0.991627574877391,0.975542326008003,0.488422709496355,0.516993847748744,0.019160878629474
