Accession,Ratio 2h,Ratio 6h,Ratio 10h ,Ratio 24h,P value 2h,P value 6h,P value 10h,P value 24h
P37802,0.381762251078216,-0.354525955585683,0.21773121203689,0.26785411735401,0.501592174168735,0.568517371981173,0.749905803593502,0.464814858030505
P31948,0.17777121295029,0.057532051088531,-0.138980868328094,-0.192331404752505,0.775309308886553,0.91670395119657,0.779765588436511,0.809857861237743
P02649,-0.128628074711736,-0.220483382893666,-0.575934184565291,-5.38277366219267,0.426686209640307,0.202010865906338,0.076484026229934,0.000417922646959
P19338,-1.06460512145462,-0.020171263854505,-0.841280630639625,-3.96436287926007,0.497531893450768,0.966695786101491,0.148070608688474,0.148659270729771
P15311,-0.068974373535169,-0.025993791066561,-0.306306419868109,-0.159124178925494,0.643424156511875,0.828649018576633,0.416945219508264,0.690275979070541
Q15056,-0.038101124244362,-0.055751601120174,-0.18343098384822,-0.950422859009001,0.823107489876909,0.68463132859281,0.314650359683164,0.016548869150668
P35221,-0.24443309072069,-0.289780267981579,-0.825223146231519,Err:502,0.231434547077801,0.161392319498484,0.21914713921634,0.000610009049049
P56381,0.065890247665981,0.2418859778884,-0.144263042283568,-2.17014780178675,0.702830698318,0.444765452751099,0.546037597124635,0.006431886751851
O94925,-0.155589113695161,0.033983669999966,-0.647225303915981,-2.33293092976637,0.551517384577169,0.931240691986707,0.045172026477455,0.003986745469019
P23588,0.146590537680546,-0.024115210251322,0.0789724016166,0.140360564224232,0.07771874086968,0.87154247122654,0.542951682357097,0.183152947052455
P02652,0.661437719368261,-0.103307330392488,0.150293314732198,-4.03814660878177,0.142767665918619,0.579703543471273,0.598047549283462,0.000165703943302
Q02878,-0.024606580707118,-0.191614865451704,-0.266774293810506,-0.046101036400381,0.967112420148126,0.628069110560838,0.433176909527526,0.945030205525878
P13073,-0.217018234888816,-0.053510110468137,-0.468754888943118,-1.87246272719405,0.348012513452688,0.855683394360105,0.214116747957048,0.004310428614023
Q08211,-0.02300003652436,0.047384512756614,-0.436333431409528,-0.303643258970767,0.962585275114204,0.903117129731654,0.120862576028663,0.458366076138829
Q15436,0.26640255367185,0.05013482034636,0.216463710185152,-0.040346690443985,0.105480271892271,0.678651761311696,0.428038219502822,0.85836893723016
Q13813,0.019396300364101,-0.06740285159836,-0.660855826475891,-1.01035689335603,0.968140061661949,0.605815750190684,0.377531177846105,0.334092307682497
Q06481,-0.296606572646544,-0.169745587366966,-0.703047669135114,-2.3601803654503,0.331357794585253,0.617998549848921,0.111108639067155,0.010724011111435
P19075,-0.154650995349958,-0.262345983440584,-0.246853122411513,-2.13571735820172,0.650523360777904,0.441081464032758,0.336081886771415,0.003546671311127
P39023,0.252085669463332,-0.157550960642629,-0.053746703627544,0.021550989210641,0.452620003074679,0.510672765375852,0.538965973663318,0.920232664338138
O00571,0.040374761206634,0.043890218812924,-0.108044753040942,-0.258635241977309,0.956283686131514,0.94665867398187,0.895004435996274,0.776752431411308
P25205,-0.205715745840573,0.164045577616452,-0.566881741746416,-0.957641356261829,0.676410235774636,0.756283347887948,0.125807532512432,0.093393810456241
P07339,0.097521189063442,-0.437791889100371,0.074749595311554,-2.37287807839762,0.58729792871492,0.110441940141033,0.69818738911262,0.002176479533105
Q15427,-0.087550860978442,-0.090928395519997,-0.269267369338515,-0.678088823816218,0.771455987517579,0.730655197239702,0.083077348724876,0.09764817012617
P14866,0.256687850525172,-0.335861448969573,0.186704643497059,-0.613712922131855,0.133930252880488,0.102799112468222,0.168220489179538,0.046002206380004
Q01082,-0.572369819320877,-0.227502196098297,Err:502,-4.45233710619197,0.156666621549349,0.4077183447266,1.22739500761751E-05,0.204539260846949
O96005,0.501719136230678,-0.1177862085864,0.076145030010481,-0.536506818902772,0.442402749802723,0.838183660195301,0.871198451218219,0.461801593503875
P48444,0.018908563653156,0.009383677063785,0.038013976392628,-1.40989618158239,0.939348684173389,0.978624888515483,0.910933272953812,0.035828073068522
P16435,0.04237833337573,-0.079319477823869,-0.490042844422667,-2.79461973274729,0.95959825114499,0.906322586401437,0.621568376835703,0.039832057545195
Q7Z6Z7,-0.121513483344961,-0.014635357351131,-0.148205461096699,0.644548284040841,0.717135499399376,0.970757367296564,0.677152143707929,0.273001925837966
Q9BVC6,0.251543643831596,0.099704576920978,-0.068553138148112,-0.235155060164108,0.59961385459262,0.853629909158951,0.899064424097483,0.687151994350202
O43143,0.606593663382456,-0.452801020192937,0.146128293179659,0.256063471051658,0.229294302083855,0.177169040194949,0.764353496415523,0.670421678576878
Q7L1Q6,0.080713413963241,0.067485303167401,-0.282243023652086,-0.684984237508464,0.836506242421427,0.84617675933258,0.496064307723629,0.196668361999732
Q16658,0.820947257981227,-0.246611661688264,0.087524767664537,0.764138566191287,0.0103581924192,0.47723041279138,0.837885745283171,0.087921716864413
P49327,0.156524352307969,-0.638524832038019,-0.570266621111153,-0.218812329295291,0.769273598132028,0.132311621765947,0.234455537782747,0.611965156449462
Q9N2J8,-0.135307404130729,-0.161726268863043,-0.43339972732448,-0.887626888334021,0.484189379411486,0.251377303654771,0.055932459382947,0.021217388567975
P50552,0.013790883917532,-0.002045503359581,0.178270217714569,0.214287983239047,0.975480024054647,0.996491281402368,0.662528264633597,0.719600140541323
P16401,0.475883504571542,0.011858967108331,0.715468949875012,-0.879867767561653,0.732347596514411,0.991522138082792,0.575938276573127,0.505870996933477
Q15404,0.255349061606795,-0.125722738652859,-0.247224269931021,0.340057582419574,0.232380561181114,0.200580207761876,0.21672922677463,0.057241166340946
P43243,-0.487715326312316,0.031846141058306,-0.344429008980298,-1.30971196492871,0.163425908505523,0.592819999863794,0.06909506449204,0.051354132865002
Q99988,0.077565230077206,-0.125305990295074,-1.08312496167691,0.529276832283562,0.661257298993564,0.469981985200111,0.003133144024857,0.428440271928682
P60903,-0.192588425498522,-0.249753442642951,-0.439323374456357,-1.85216595451053,0.020415450313302,0.216376823386349,0.306049674586173,0.001280395352184
P26038,0.164808454019563,0.251171700843066,0.070040995474794,0.242468005198613,0.923366048709106,0.903586280166804,0.968209879362018,0.894983378215615
Q96HC4,-0.348929903880469,-0.399283476042605,-0.343273158217243,-0.75277782550888,0.408376244312515,0.151316284741062,0.403274206804851,0.280018476337764
O60716,0.028526810292261,-0.081090088896578,-0.557870299065892,-0.271798080531209,0.956752164511936,0.859806693277605,0.205631967841582,0.630725433482215
Q9NYF8,0.067699882332379,0.07996512204175,0.087763093850132,0.080170770971595,0.835130891278094,0.813402272886654,0.769960679948784,0.736446764830566
P51149,0.021268410605698,-0.130425964549218,-0.460590512489497,-0.046364209089097,0.975054557977871,0.814498225735133,0.474377572729641,0.959241698433818
P62266,0.197634604775824,-0.152955630061449,-0.152441948476243,0.312813237182749,0.512025861403112,0.404465185844976,0.429133113453025,0.57161852435133
Q9BV40,0.885706127898888,-0.368420380384068,-0.518623957410712,-2.90966735579983,0.536407415665912,0.060016349091615,0.046267880172167,0.027576827619227
P47914,-0.027054946168873,-0.196424370231863,-0.43866345998069,-1.77104683147105,0.743732007590511,0.219477589974848,0.023613605702988,0.001072966192041
Q8NC51,0.441167670898591,-0.312942739728765,-0.288793521543755,-0.524946094550211,0.678770266679333,0.577211862412037,0.656210681985481,0.600145888139528
Q15758,0.072370578770028,0.165466459144355,-0.202862679222246,-1.32733161254937,0.759572516965471,0.269617421615437,0.198359992133331,0.009618408584229
Q14247,-0.246197162522057,-0.083204707918404,-0.605309840346431,-0.448497505473618,0.582086160547698,0.578182932852508,0.056264430532926,0.64662628903814
P14618,-0.073636796863816,-0.403483547448777,-0.452680483768925,1.66876478044831,0.951099019903056,0.632279759837993,0.561053608746653,0.053206897870815
Q15233,-0.297662423312395,-0.107460173288266,-0.564393968676091,0.24875794325742,0.564736971223325,0.738874546676329,0.015254714683553,0.716306816511399
P07195,0.249677236821785,-0.219681907577309,-0.427742587983046,0.323235763634776,0.262460228008352,0.425090900043963,0.050662631586434,0.260198395829695
P07237,-1.00089903694614,0.01467973347957,-0.60775675883029,0.264063260597858,0.112925307100636,0.953719027812903,0.239753558207206,0.765671820014289
P08238,-0.157753103229891,-0.016274262180759,-0.436962313432923,0.296239472829602,0.792615854231547,0.942484367734045,0.189460348716053,0.445844534798785
Q9UBQ7,0.207507003638825,-0.100710875411999,0.887080188528491,-0.179668909451588,0.528903390280407,0.804745763136517,0.28596404570759,0.715044904535134
Q9UHD8,-0.437035043676803,-0.43269758285669,-1.03606221420951,-3.34432765329013,0.376955949762136,0.102088281273436,0.061376927391208,0.000803784766382
P63244,0.003318402159213,-0.001728089863895,-0.126279450026753,-0.760006141938404,0.993474987270743,0.996220394269254,0.603072170907289,0.144590089329414
P55060,-1.50576051196287,-0.232839308336996,-0.640208494333377,-0.201395460706154,0.200953768717365,0.717390907911935,0.166350850321188,0.604323827086639
Q9HB40,0.163419242304849,0.005753869682837,0.079028139342017,-4.69304896152523,0.894068164474178,0.996148485914064,0.948541328429878,0.186648685932171
P08670,0.044046779274271,2.80620378424492,-0.942867809675262,2.53990731641816,0.983813259176154,0.444001586342023,0.692262937347821,0.294855754409197
Q15365,0.47308507121203,-0.213813955679738,0.115783381259726,0.050917997646802,0.089047958205352,0.336385351009336,0.607691675671963,0.779938011865561
Q9NR12,-0.292045372138386,-0.0603295252687,0.009863286729677,0.121982360812562,0.585058909773393,0.912351321337062,0.985329347467301,0.704758984818024
P62820,0.042607590101325,0.019046405291453,-0.164424540802109,-0.72486972391797,0.825059279610474,0.950081206215976,0.448775896123413,0.03318280540792
O15144,0.250861709822195,-0.146663386159942,0.219265682940325,0.600665459713018,0.822597063842505,0.892958648651563,0.842245214936173,0.607201320629671
P09622,-0.331828029429724,-0.144490352847458,-0.678672343842524,-2.43153518692507,0.785552816371111,0.912301146225046,0.593026408171758,0.303791994773732
P48163,0.625222946830086,-0.230128050859297,0.07419979276375,-2.03652813047533,0.334682839389358,0.700550235184865,0.865945366865401,0.070801676281464
P10619,-0.112984141160637,-0.238545384478442,-0.67373922362407,-2.20933776937176,0.790344013429939,0.487641565760424,0.09856231900014,0.003252965597173
P05455,0.016474603756371,0.292731707717667,-0.675640395967919,0.256248587482209,0.988545572968753,0.804645486977959,0.57465094171039,0.830250457922554
P00558,1.27740845446921,0.125210308019329,-0.291885039597636,0.360188369916823,0.305539325300085,0.930902540980499,0.811179305056381,0.584641010387407
Q9UHB6,-0.174718116215435,-0.030054605445459,-0.672118633451004,-0.763084277644219,0.287420745921411,0.875170032048026,0.135498789873267,0.29331765928294
P41567,0.045676794180417,-0.014591403243542,-0.858091572830328,Err:502,0.812750662755854,0.882048310207999,0.018213000130952,0.000682943446653
Q8NCW5,0.12513483874012,0.053875184448396,0.001843747601481,-0.59761812355906,0.577153193001648,0.559217288584807,0.946599856322748,0.001104812140834
P49411,-0.270216289765015,0.191130794712323,-0.071732733791963,0.405882307251673,0.528754699278237,0.590682050592727,0.843770484639349,0.505644727874341
P01892,-0.066538421919654,-0.148747962835774,-0.240499056421471,-1.04720540162342,0.940698510832014,0.87031262062319,0.819402101897733,0.460223395245361
Q16881,-0.063438581915814,-0.041940141176769,0.269259335050141,0.6321829087497,0.951580278459786,0.954302627548736,0.773149864931532,0.471144002915321
P21964,-0.06718276283054,-0.184621938035422,-0.247492343140351,-1.67988830080093,0.734223804450487,0.462957393056592,0.32980698308082,0.032511891246204
Q9Y3F4,-0.086578844841137,0.224029936016241,-0.071120480344694,0.710263312049899,0.894762404369551,0.553911267217048,0.864355895698217,0.225778772865828
P84243,-0.169137086751073,-0.131057704133729,-0.442594665931974,-2.44558950252683,0.170401834623615,0.194672081742309,0.014747494008409,0.000100090343255
P05186,-1.15069003680706,0.335629099268697,-0.361416518748563,0.173328410496334,0.189306869885223,0.72699176512357,0.720064888056379,0.865283007680656
Q14152,0.143209828373817,0.046154758591849,-0.141894511908687,0.110795593885562,0.720979875283797,0.793057084147629,0.58243892119372,0.893028899774118
P11166,-0.203781329805529,-0.001154909178239,-0.458854805621548,-1.27811819812011,0.204835714711483,0.990913629358206,0.08465927058001,0.031569366666637
P31153,0.253959618062796,-0.096695505508814,-3.97111473834808,0.972422194623482,0.783690285870376,0.918962252965971,0.13713372525761,0.684745586005103
O60313,0.931225664633364,0.493167983414286,-0.535057787002543,0.298184766334241,0.005857340923298,0.026777743124876,0.112634188230213,0.452586797746283
Q16576,0.691660876696349,0.386150598824079,-0.373170378314272,0.330676217287143,0.186412757016502,0.187118338966048,0.056004150882429,0.132108106981524
P27635,-0.183216467962992,-0.072463069741195,-0.491723622181729,-2.96976516406246,0.718771688645441,0.851182920579904,0.224196266635075,0.018946473833704
Q06210,-0.036817705789102,-0.301840956686685,-0.822879808033125,-0.746321401286716,0.880661885225366,0.131646770428134,0.064461091106531,0.066626507610079
P62701,0.480796721696503,0.231355131364644,-0.220448758459784,0.643647393048612,0.270845780872024,0.518554342913112,0.443791395063748,0.376502141605548
P05091,-0.774993099582889,-0.352738642616628,-0.649907171215763,-2.63278202199061,0.118392247176489,0.296659329354176,0.006508736643213,0.004345088891331
P28331,0.041154086757927,-0.644913911170346,-1.04989134384269,-2.63712466175977,0.966887080348315,0.568828283354803,0.351612872095058,0.080236371507417
Q7Z2W4,-0.171601757347705,0.373515444631317,-0.284897294430811,-0.822305620721806,0.69990095461936,0.115101992533116,0.324830607458081,0.254713491936027
P60468,0.004920783605223,0.122689817890284,-0.252592326850324,-2.11319853877114,0.979562989551257,0.453589273843805,0.000925665298827,0.000962041697959
P08729,0.062569720563628,-0.042459199582935,-0.008182703011688,-0.064488379879186,0.888751041160489,0.929686403873329,0.988604528744261,0.910765165136468
P08729,0.062569720563628,-0.042459199582935,-0.008182703011688,-0.064488379879186,0.888751041160489,0.929686403873329,0.988604528744261,0.910765165136468
P08729,0.062569720563628,-0.042459199582935,-0.008182703011688,-0.064488379879186,0.888751041160489,0.929686403873329,0.988604528744261,0.910765165136468
P08729,0.062569720563628,-0.042459199582935,-0.008182703011688,-0.064488379879186,0.888751041160489,0.929686403873329,0.988604528744261,0.910765165136468
P61981,0.013548184849376,-0.164489436444354,-0.428534657169999,0.593490411607381,0.911579446184,0.595789338732752,0.058656201808719,0.064519847757436
P62937,-0.388029310279788,-0.233634086013722,-0.494144239529568,0.455827664176552,0.508357579292391,0.585770085580303,0.209007341927215,0.159337416923477
P50991,-0.150582250537071,0.102571917388425,-0.520228061727446,-0.936024670601676,0.722865391246009,0.635014123529508,0.129194256148168,0.332999303049716
P57105,0.429801924644193,0.244741965326673,-0.291880508243488,-0.020286756804499,0.713339300132857,0.832279082508882,0.8116800473171,0.986217010858657
Q14C86,-0.104274282924818,-0.035636526272169,-0.213091002099496,0.575322999080017,0.738456162503211,0.944202622865225,0.511662920598452,0.241667305843425
Q969G3,-0.031726515663323,-0.042399743064659,0.139610873959131,0.914110365298474,0.338225687558029,0.765155652366214,0.73117615314169,0.010107532150281
P54709,0.193649752977217,-0.007115928671112,-0.303422545751246,-0.822531461472005,0.462883368035047,0.97484936321288,0.217919206208173,0.107666670546244
P51659,-0.1012934458244,0.067612648400747,0.215000259461648,-0.196498893094068,0.808950351388408,0.880943477733477,0.527312518433173,0.736569650355515
O14880,-0.073405275576734,-0.408116788091086,-0.705116276683301,-3.49647279050515,0.923695496929437,0.648622895072285,0.436059237115743,0.036159152402561
Q9H4M9,0.033656609173751,-0.347599673426209,-1.05831360887676,Err:502,0.936955304609713,0.335067008232676,0.173555261853901,1.73114051947112E-05
O00483,0.070117782358762,-0.408775250218422,-0.884540332457978,-2.30534176832447,0.669124756827942,0.127538245226171,0.007597312114311,0.000423509255865
P30533,-0.096967247165555,-0.41213489497702,-0.190237037379286,-0.405526072559274,0.638880316309362,0.086947180791465,0.559176907149657,0.357039870535607
Q02818,0.125616386834266,-0.089288727817118,-0.459064948910924,-1.0752651761514,0.749106143207991,0.794687724836597,0.444657935615132,0.153119029511609
O60437,-0.011362268384933,0.130678360608577,-1.12400208607356,Err:502,0.978222564144572,0.709691105209618,0.11351136111771,0.003345062906742
P35222,-0.003593034512881,-0.189242270828078,-0.747760263350058,-0.421624842655056,0.995652224432959,0.749238792956471,0.160632919674652,0.578279008964475
O75348,-0.023433964303261,-0.085897649043915,-0.350366792088536,-2.10548748781983,0.898699406016997,0.494730073317666,0.014113877317996,0.000292491895256
P62269,0.373376947054372,-0.343953746042821,0.011140783043878,0.631741355278069,0.487021510735567,0.4382464731638,0.976466376250901,0.17956405647752
O60869,0.024869663388351,-0.067331309200933,0.081183188925383,-0.934366937593287,0.981960958307261,0.9521891066128,0.943149681654728,0.455620522546027
P60174,0.270008691376834,0.014665032270338,-0.94663524400984,1.2455577285128,0.64874777987293,0.981898304685333,0.32372585668968,0.189257769820313
Q14980,-0.323553034520331,0.150861542002072,-0.373823013017516,-0.160152329495402,0.616994537010879,0.802946382770736,0.53969124568159,0.746520391989321
Q14315,0.046331797205271,0.082100788080102,-0.283409103658338,-1.6594010695203,0.833427831368053,0.722844940752416,0.388723885797686,0.014619549026639
Q8IUE6,0.235513192435139,0.281757165876703,0.319779507802948,0.192938617931735,0.766150230560938,0.702487172162831,0.66132227691326,0.77842106961416
O43291,-0.003816372171024,-0.112666212319032,-0.151574474183243,-2.65040010353972,0.990254314879599,0.705089185293828,0.661314273412957,0.003993068593948
Q13185,0.156042710013749,-0.150304841443776,-0.181148550242514,-0.007406122711327,0.177996184363927,0.61286310519771,0.32588230489589,0.979381473492928
P78527,0.819169601872786,-0.376801611147029,-0.930891276702402,1.16060353639123,0.08390256580842,0.67756427738637,0.099185161962736,0.087647739474665
P61619,0.15111228810604,-0.06027332638997,-0.407244862525968,-0.431682096080583,0.891239463620024,0.955451629819448,0.740287300138016,0.739054155648114
Q01813,0.251629092276951,-0.012581453951256,0.164813454390799,1.10129943340305,0.766891203102931,0.989660281115758,0.881343886859917,0.431127602446559
P62917,0.271551096468065,-0.192847225187419,-0.065545206794674,-0.495783775954432,0.136208946072668,0.104820630712163,0.597419602538198,0.222175125040381
Q9Y383,0.400482998742337,0.064178372771659,-0.063838913375195,-0.199264261533433,0.466684971232981,0.89300696413212,0.915980630966664,0.601026185136934
P53041,-0.188173329266097,0.063229672613339,0.166628930270991,0.890842825388206,0.883773167946428,0.922472264029881,0.7471803520885,0.360323555720198
P62312,0.044213511156149,0.400104839657578,-0.2131044841441,-0.12481999212526,0.856404988008071,0.173815747927136,0.360266150281358,0.719688231328131
P27348,-0.259285289651809,-0.226098417007584,-0.703994450140336,-0.15039228426187,0.673519667444835,0.691004132977904,0.426490126242154,0.755858100717989
O95456,0.625618363446373,0.318729526268631,0.185815057147746,-0.225967835848643,0.55877377686813,0.768982459807352,0.838847132029086,0.817104743294313
Q99961,2.69584369653429,0.39143057510045,-0.118065339036463,-2.32721358445507,0.0041574183639,0.3019553198422,0.912734439753214,0.019735726882703
