drugbank_id	category	organism	known_action	actions	uniprot_id	pubmed_ids
DB00017	target	Humans	unknown	agonist	P30988	3004987|7610922|9231703|11752352
DB00018	target	Humans	yes	agonist	P17181	17139284|17016423|15898717|19955815|11752352
DB00018	target	Humans	yes	agonist	P48551	17139284|17016423|15898717|19955815|16953837|11752352
DB00018	enzyme	Humans	unknown	inhibitor	P05177	9064483
DB00019	target	Humans	yes	agonist	Q99062	17001306|12944913|17127322|16033816|15949269|15082029
DB00019	enzyme	Humans	no	substrate	P08246	14657210|16245075|12958067|15353486|17475913|26105553
DB00020	target	Humans	yes	agonist	P15509	17090651|16760463|17522711|16638185|11752352
DB00020	target	Humans	yes	agonist	P26951	17562355|17500228|16698686|17522711
DB00020	target	Humans	yes	agonist	P32927	17139284|17016423|1424804
DB00020	target	Humans	unknown	agonist	P34741	17139284|17016423|10734053
DB00020	target	Humans	unknown		P13727	17383764|16522458|17600316
DB00022	target	Humans	yes	agonist	P17181	17139284|17016423|15898717|19955815|16953837|11752352
DB00022	target	Humans	yes	agonist	P48551	17139284|17016423|15898717|19955815|16953837|11752352
DB00022	enzyme	Humans	unknown	inhibitor	P05177	21161196
DB00022	enzyme	Humans	unknown	inhibitor	P10635	
DB00022	enzyme	Humans	unknown	inducer	P11712	22765278
DB00023	carrier	Humans	no	inhibitor	P05543	
DB00024	target	Humans	yes	agonist	P16473	15571461|9039330|11752352
DB00025	target	Humans	yes	activator	P00742	13801371|14285227|236567|6436416|11891806
DB00025	target	Humans	yes	cofactor	P00740	1119107|2994716|14240634|932529|6422634
DB00025	target	Humans	yes	binder	P04275	10938981|11858481|14750934|2128855|2942172
DB00025	target	Humans	unknown	antagonist	O14832	17139284|17016423|11574539
DB00025	target	Humans	unknown	binder	P07307	17139284|17016423|15946216
DB00025	target	Humans	unknown	chaperone	P11021	17139284|17016423|9607108
DB00025	target	Humans	unknown	chaperone	P27797	17139284|17016423|9525969|17899080|9607108
DB00025	target	Humans	unknown	chaperone	P27824	17139284|17016423|9525969|15213841|17899080|9607108
DB00025	target	Humans	unknown	chaperone	P49257	17139284|17016423|14629470|14726380
DB00025	target	Humans	unknown	modulator	Q07954	17139284|17016423|21391865
DB00025	target	Humans	unknown	modulator	Q8NI22	17139284|17016423|15886209
DB00025	enzyme	Humans	unknown	activator	P00734	10688826|1139038|12463731|2402772|3099625
DB00025	enzyme	Humans	unknown	inactivator	P04070	17139284|17016423|21054189
DB00026	target	Humans	yes	antagonist	P14778	17498496|12817089|12355453|17083033|11752352|17352828|10210771
DB00027	transporter	Humans	unknown	substrate|inhibitor	P08183	14985103|8621716|11707575
DB00028	target	Humans	yes	antagonist	P12314	17911465|20441428|17351760
DB00028	target	Humans	yes	antagonist	Q92637	17911465|20441428|17351760
DB00028	target	Humans	yes	antagonist	P12318	17911465|20441428|17351760
DB00028	target	Humans	yes	antagonist	P31994	17911465|20441428|17351760
DB00028	target	Humans	yes	antagonist	P31995	17911465|20441428|17351760
DB00028	target	Humans	yes	antagonist	P08637	17911465|20441428|17351760
DB00028	target	Humans	yes	antagonist	O75015	17911465|20441428|17351760
DB00028	target	Humans	yes	binder	P01024	20441428|17351760|17911465
DB00028	target	Humans	yes	binder	P0C0L4	20441428|17351760|17911465
DB00028	target	Humans	yes	binder	P0C0L5	20441428|17351760|17911465
DB00028	target	Humans	yes	binder	P01031	20441428|17351760|17911465
DB00029	target	Humans	yes	activator	P00747	18673235|19436656|17963464|11752352
DB00029	target	Humans	yes		P02671	17139284|17016423
DB00029	target	Humans	unknown		Q03405	17139284|17016423
DB00029	target	Humans	unknown		P05121	17963464
DB00030	target	Humans	yes	agonist	P06213	12970169|12038982|17722952|19683471|20230616|11752352
DB00030	target	Humans	unknown		P08069	17139284|17016423|19145584|21219237|22420005
DB00030	target	Humans	unknown		P06400	17139284|17016423|7818556
DB00030	target	Humans	unknown	modulator	P16870	24843127
DB00030	enzyme	Humans	unknown	cleavage	P14735	19785409
DB00030	enzyme	Humans	unknown	activator	P16519	
DB00030	enzyme	Humans	unknown	activator	P29120	
DB00030	enzyme	Humans	unknown	inducer	P05177	1562279|12130701
DB00031	target	Humans	yes	activator	P00747	18673235|19436656|17963464|11752352
DB00031	target	Humans	yes		P02671	19436656|18673235|17963464
DB00031	target	Humans	unknown		Q03405	15231724|11447759|12210068
DB00031	target	Humans	unknown		P05121	11163592|14564902|17963464
DB00031	target	Humans	unknown		P05120	17141398|7958159|3091604
DB00031	target	Humans	unknown		P05452	12694198|9034981|17853709
DB00031	target	Humans	unknown		P05787	9988531|8760360|8810346
DB00031	target	Humans	unknown		P07355	15194650|10578524|12730231
DB00031	target	Humans	unknown		P27797	9359841
DB00031	target	Humans	unknown		P27824	9359841
DB00031	target	Humans	unknown		Q07954	8344937|1378833|16303771
DB00032	target	Humans	yes	binder	P23945	17139284|17016423|14680547|7872378|11752352
DB00032	target	Humans	yes		P22888	17139284|17016423|14680547|7872378
DB00033	target	Humans	yes	binder	P15260	17251453|17618444|11752352
DB00033	target	Humans	yes	binder	P38484	17239631|17618444|11752352
DB00033	enzyme	Humans	unknown	inhibitor	P05177	9064483|9103535
DB00034	target	Humans	yes		P17181	15898717|18230610
DB00034	target	Humans	yes		P48551	15898717|18230610
DB00034	enzyme	Humans	unknown	inhibitor	P05177	9064483
DB00035	target	Humans	yes	agonist	P30518	18761325|16333859|11752352
DB00035	target	Humans	yes		P37288	10731046|10594321|8957254|15613460
DB00035	target	Humans	yes		P47901	15613460|14971638|18655906
DB00035	enzyme	Humans	unknown	inducer	P23219	15644490
DB00035	enzyme	Humans	unknown	inducer	P35354	15644490
DB00036	target	Humans	unknown		P00742	5969560|13801371|13713641|14227143|13621053
DB00036	target	Humans	unknown		P05981	17139284|17016423
DB00036	target	Humans	unknown		P10646	11772005|7559599|8700900|12974870|11238112
DB00036	target	Humans	unknown		P38435	17139284|17016423|10901669
DB00036	target	Humans	unknown		P08709	10388743|11735107|12525826|15907148|16370916
DB00036	target	Humans	unknown		P13726	13713641|1586032|6658368
DB00038	target	Humans	yes	agonist	Q14626	11012177|11570967|8637716|8676079|9310465|11752352
DB00039	target	Humans	yes	binder	P21802	17728847|16390600|16854582|7499435|9056643|10593896|17456767|11752352
DB00039	target	Humans	unknown		O14786	10821861|9094999|9890894
DB00039	target	Humans	unknown		P11362	11714710|10950949|11091737|10212269|9890894
DB00039	target	Humans	unknown		P22455	7526860|10950949|9755102|9843417|11149756
DB00039	target	Humans	unknown		P22607	11422746|11149756|10821861|7890137|7680555
DB00039	target	Humans	unknown		P98160	10593896|9788974|16989989|14753849
DB00040	target	Humans	yes	agonist	P47871	17462598|17620721|17623014|17534934|17479245|11752352|8020989|12529935|8144028
DB00040	target	Humans	unknown	agonist	O95838	17139284|17016423|11212269|9990065|15817468|12529935
DB00040	target	Humans	unknown	agonist	P43220	17475961|17498508|17534934|12529935
DB00041	target	Humans	yes	agonist|modulator	P14784	16477002|16542139|16569767|16596189|16617454|11752352
DB00041	target	Humans	yes	agonist|modulator	P01589	17216565|16767920|17530023|17584597|16864089|11752352|10207608
DB00041	target	Humans	yes	agonist	P31785	16477002|17598841|17635814|17083048|17363735
DB00041	enzyme	Humans	unknown	inducer	P35354	10823885|18209082
DB00041	enzyme	Humans	unknown	inducer	P47712	8536274
DB00041	enzyme	Humans	unknown	inhibitor	P08684	10086330|14977871
DB00041	enzyme	Humans	unknown	inducer	P47989	8032542
DB00041	enzyme	Humans	unknown	inhibitor	P05181	10086330
DB00042	target	Humans	yes	binder	P63027	14573702|11752352
DB00042	target	Humans	yes	binder	P23763	17139284|17016423|11752352
DB00042	target	Humans	yes		Q8N9I0	17139284|17016423|19576489
DB00043	target	Humans	yes	inhibitor	P12319	15356552|17368811|26288408
DB00043	target	Humans	yes	inhibitor	Q01362	17139284|17016423|17073688|11678779
DB00044	target	Humans	yes	agonist	P22888	17139284|17016423|20161981|11752352
DB00045	target	Humans	yes	other/unknown	O60603	14617145
DB00046	target	Humans	yes	agonist	P06213	11752352|8964871|8937933|20424816
DB00046	target	Humans	unknown		P08069	22420005
DB00046	enzyme	Humans	unknown	inducer	P05177	1562279|12130701
DB00047	target	Humans	yes	agonist	P06213	11752352|17922476|20424816|18585815
DB00047	target	Humans	unknown		P08069	22420005|20938889|17922476
DB00047	enzyme	Humans	unknown	inducer	P05177	1562279|12130701
DB00048	target	Humans	unknown		P02452	17440987|12855673|12535212|12101112|15659034
DB00048	target	Humans	unknown		P02458	14613270|17652426|16507130|15299286|12890681
DB00048	target	Humans	unknown		P02461	17139284|17016423|2145268
DB00048	target	Humans	unknown		P08123	12101112
DB00050	target	Humans	yes	antagonist	P30968	11854630|12606421|14561652|14605254|16809153|11752352
DB00050	target	Humans	unknown		P22888	17139284|17016423|11943741
DB00051	target	Humans	yes	antibody	P01375	12044041|14532145|15022409|15046527
DB00052	target	Humans	yes	binder	P10912	16917171|16965663|17082603|17128263|17133434|11752352
DB00052	target	Humans	yes		P16471	17279774|17395896|17317019|2270485
DB00054	target	Humans	yes	antagonist	P05106	11588534|12165285|17441904|11752352|18510478|12749745
DB00054	target	Humans	yes	antagonist	P08514	19499855|18510478|12749745
DB00054	target	Humans	unknown		O75015	17139284|17016423
DB00054	target	Humans	unknown		P00736	17139284|17016423
DB00054	target	Humans	unknown		P02745	17139284|17016423
DB00054	target	Humans	unknown		P02746	17139284|17016423
DB00054	target	Humans	unknown		P02747	17139284|17016423
DB00054	target	Humans	unknown		P08637	17139284|17016423
DB00054	target	Humans	unknown		P09871	17139284|17016423
DB00054	target	Humans	unknown		P12314	17139284|17016423
DB00054	target	Humans	unknown		P12318	17139284|17016423
DB00054	target	Humans	unknown		P31994	17139284|17016423
DB00054	target	Humans	unknown		P31995	17139284|17016423
DB00054	target	Humans	unknown		P04004	17160551|12749745
DB00055	target	Humans	yes	multitarget	P00451	9184404|18954704|11752352
DB00055	target	Humans	yes	multitarget	P12259	11236773|11714212|11893230|12004250|12030642|11752352
DB00055	target	Humans	unknown		P05121	11259926|17566522|12004248|14515185
DB00055	target	Humans	unknown		P07204	11804648|15252033|1660324|2836377|3039877
DB00055	target	Humans	unknown		P07225	12062545|1828915|3160800
DB00055	target	Humans	unknown		P00450	17139284|17016423
DB00055	target	Humans	unknown		P00734	10463819|12062545|12070133|12208873|12296618
DB00055	target	Humans	unknown		P02776	11259926
DB00055	target	Humans	unknown		P05154	10456457|7769227|9620917|8391599|12671072
DB00055	target	Humans	unknown		P35237	17139284|17016423
DB00055	target	Humans	unknown		P38435	17139284|17016423
DB00055	target	Humans	unknown		Q9UNN8	9529319|12871285|12353077|17566522|15118520
DB00056	target	Humans	yes	antibody	P20138	10942240|11249747|11342449|11410481|11432892|20564405|11752352
DB00056	target	Humans	unknown		O75015	9815888|9649182|7509291
DB00056	target	Humans	unknown		P00736	17139284|17016423
DB00056	target	Humans	unknown		P02745	17139284|17016423
DB00056	target	Humans	unknown		P02746	17139284|17016423
DB00056	target	Humans	unknown		P02747	17139284|17016423
DB00056	target	Humans	unknown		P08637	17139284|17016423|7509291
DB00056	target	Humans	unknown		P09871	17139284|17016423
DB00056	target	Humans	unknown		P12314	7509291
DB00056	target	Humans	unknown		P12318	17139284|17016423
DB00056	target	Humans	unknown		P31994	17139284|17016423
DB00056	target	Humans	unknown		P31995	17139284|17016423
DB00058	target	Humans	yes	inhibitor	P08246	20521180|16773239|11752352
DB00059	carrier	Humans	no	inhibitor	P05543	
DB00060	target	Humans	yes	agonist	P17181	10049744|16912135|12034032|11747625
DB00060	target	Humans	yes		P48551	16912135|11747625
DB00060	enzyme	Humans	unknown	inhibitor	P05177	9064483
DB00061	target	Humans	unknown	binder	P62993	9299436
DB00063	target	Humans	yes		P05106	11588534|14618072|15860200|12360110|14617694|12928738|10592235
DB00065	target	Humans	yes	inhibitor	P01375	11752352|17642244|16052578|16456024|15674127|16622728|12110154|15481318|15691217|15691299|15804598
DB00066	target	Humans	yes	agonist	P23945	11299519|7755615|2108722|8319832|8070368|18020563|11752352
DB00067	target	Humans	yes	agonist	P30518	17020465|16333859|16563128|17287200|11752352
DB00067	target	Humans	yes		P37288	17275806|16532916|16511036|16011575|17303660
DB00067	target	Humans	yes		P47901	17027167|16720725|17284170|16114100|15993108
DB00067	transporter	Humans	unknown	substrate	Q92887	10692506
DB00068	target	Humans	yes	agonist	P17181	10049744|11752352
DB00068	target	Humans	yes	agonist	P48551	10049744|11752352
DB00068	enzyme	Humans	unknown	inhibitor	P05177	9064483
DB00069	target	Humans	yes	binder	P17181	17139284|17016423|12528473|11752352
DB00069	target	Humans	yes	binder	P48551	8836913|12528473|11752352
DB00069	enzyme	Humans	unknown	inhibitor	P05177	9064483
DB00070	target	Humans	unknown	inhibitor	P01137	11327694|7648625|9435505|9850732
DB00070	carrier	Humans	unknown	inhibitor	P02768	10036158|10466114
DB00071	target	Humans	yes	binder	P06213	12038982|12970169|11752352
DB00071	target	Humans	unknown		P08069	17139284|17016423|9846170|9582514|7476290
DB00071	target	Humans	unknown		P14735	17139284|17016423|8504733|9643444|13560210
DB00071	target	Humans	unknown		P01906	17139284|17016423|8200980|11006709|9458118
DB00071	target	Humans	unknown		P01920	17139284|17016423|1728861|1612232|10592235
DB00071	target	Humans	unknown		P06400	17139284|17016423|1701386
DB00071	target	Humans	unknown		P07339	17139284|17016423|11779865|10229502|9130467
DB00071	target	Humans	unknown		P16870	17139284|17016423|12588113|2481446|9452465
DB00071	target	Humans	unknown		P16519	17139284|17016423|17221210|9662053|8666140
DB00071	target	Humans	unknown		P29120	17139284|17016423|1435788|12136131|17097861
DB00071	target	Humans	unknown		P48745	17139284|17016423|10084601|12149257|8622864
DB00071	target	Humans	unknown		P98164	17139284|17016423|9773776|9051350|17018843
DB00071	target	Humans	unknown		Q16270	17139284|17016423|11089538|17475416|10383131
DB00071	target	Humans	unknown		Q96C24	17139284|17016423|16216924|16831872|15028737
DB00071	enzyme	Humans	unknown	inducer	P05177	1562279|12130701
DB00072	target	Humans	yes	antibody	P04626	11752352|18690878|17660958|11098307
DB00072	target	Humans	unknown		P00533	11752352
DB00072	target	Humans	unknown		P00736	17139284|17016423
DB00072	target	Humans	unknown		P02745	17139284|17016423
DB00072	target	Humans	unknown		P02746	17139284|17016423
DB00072	target	Humans	unknown		P02747	17139284|17016423
DB00072	target	Humans	unknown		P09871	17139284|17016423
DB00072	target	Humans	unknown		P12314	17139284|17016423|9435876
DB00072	target	Humans	unknown		P12318	17139284|17016423|17704420
DB00072	target	Humans	unknown		P31994	17139284|17016423
DB00072	target	Humans	unknown		P31995	17139284|17016423
DB00072	target	Humans	unknown		O75015	16109421|15471859|14666732|15868915|15680154
DB00072	target	Humans	unknown		P08637	17363544
DB00073	target	Humans	yes	antibody	P11836	11752352|20350667|20350663|9704735
DB00074	target	Humans	yes	antibody	P01589	12591363|9695721|16908318|10512062|10567956|11752352
DB00074	target	Humans	unknown	antibody	P14784	10188761|10708100|11840795|12667677|12826150|11752352
DB00074	target	Humans	unknown		P12314	17139284|17016423
DB00074	target	Humans	unknown		P08637	17139284|17016423
DB00074	target	Humans	unknown		P12318	17139284|17016423
DB00074	target	Humans	unknown		P31994	17139284|17016423
DB00074	target	Humans	unknown		P31995	17139284|17016423
DB00074	target	Humans	unknown		O75015	17139284|17016423
DB00074	target	Humans	unknown		P09871	17139284|17016423
DB00074	target	Humans	unknown		P00736	17139284|17016423
DB00074	target	Humans	unknown		P02745	17139284|17016423
DB00074	target	Humans	unknown		P02746	17139284|17016423
DB00074	target	Humans	unknown		P02747	17139284|17016423
DB00075	target	Humans	yes		P04234	2503348|8861551
DB00075	target	Humans	yes	binder	P07766	17139284|17016423|11752352
DB00075	target	Humans	yes		P09693	2503348|8861551
DB00075	target	Humans	yes		P20963	2503348|8861551
DB00075	target	Humans	unknown		O75015	10851527|10851498
DB00075	target	Humans	unknown		P00736	17139284|17016423
DB00075	target	Humans	unknown		P02745	17139284|17016423
DB00075	target	Humans	unknown		P02746	17139284|17016423
DB00075	target	Humans	unknown		P02747	17139284|17016423
DB00075	target	Humans	unknown		P08637	17139284|17016423
DB00075	target	Humans	unknown		P09871	17139284|17016423
DB00075	target	Humans	unknown		P12314	17139284|17016423
DB00075	target	Humans	unknown		P12318	17139284|17016423
DB00075	target	Humans	unknown		P31994	17139284|17016423
DB00075	target	Humans	unknown		P31995	17139284|17016423
DB00078	target	Humans	yes	antibody	P11836	10541376|11418316|11879282|12011122|15045033|11752352|20113680
DB00078	target	Humans	unknown		O75015	17139284|17016423
DB00078	target	Humans	unknown		P00736	17139284|17016423
DB00078	target	Humans	unknown		P02745	17139284|17016423
DB00078	target	Humans	unknown		P02746	17139284|17016423
DB00078	target	Humans	unknown		P02747	17139284|17016423
DB00078	target	Humans	unknown		P08637	17139284|17016423
DB00078	target	Humans	unknown		P09871	17139284|17016423
DB00078	target	Humans	unknown		P12314	17139284|17016423
DB00078	target	Humans	unknown		P12318	17139284|17016423
DB00078	target	Humans	unknown		P31994	17139284|17016423
DB00078	target	Humans	unknown		P31995	17139284|17016423
DB00081	target	Humans	yes	antibody	P11836	11418316|11879282|12899647|14748653|15023434|11752352|13129395
DB00081	target	Humans	unknown		O75015	17139284|17016423
DB00081	target	Humans	unknown		P00736	17139284|17016423
DB00081	target	Humans	unknown		P02745	17139284|17016423
DB00081	target	Humans	unknown		P02746	17139284|17016423
DB00081	target	Humans	unknown		P02747	17139284|17016423
DB00081	target	Humans	unknown		P08637	17139284|17016423
DB00081	target	Humans	unknown		P12314	17139284|17016423
DB00081	target	Humans	unknown		P12318	17139284|17016423
DB00081	target	Humans	unknown		P31994	17139284|17016423
DB00081	target	Humans	unknown		P31995	17139284|17016423
DB00082	target	Humans	yes	antagonist	P10912	19820031|17322491|11752352|20595800
DB00082	enzyme	Humans	unknown	inducer	Q02318	12597773
DB00082	enzyme	Humans	unknown	inhibitor	P15104	1970314
DB00082	enzyme	Humans	unknown	inhibitor	P33260	19339376
DB00082	enzyme	Humans	unknown	inducer	P08684	9661620|16291874
DB00082	enzyme	Humans	unknown	inhibitor	P06276	3948777
DB00082	enzyme	Humans	unknown	inhibitor	Q02928	19366684
DB00083	target	Humans	yes	inhibitor	P60880	14644446|15222581|15484814|15749336|16831062|11752352
DB00083	target	Humans	unknown		P62745	15140914
DB00086	target	Humans	yes	activator	P00747	10569766|10581996|10631997|10664583|10726310|11752352
DB00086	target	Humans	unknown	cleavage	P25116	10666203
DB00086	enzyme	Humans	unknown	inducer	P47712	2265209
DB00087	target	Humans	yes	antibody	P31358	10092828|10366506|10520035|10573085|10744652|11752352|19479612|19343298
DB00087	target	Humans	unknown		O75015	9337053|8707338|9020367
DB00087	target	Humans	unknown		P00736	17139284|17016423
DB00087	target	Humans	unknown		P02745	17139284|17016423
DB00087	target	Humans	unknown		P02746	17139284|17016423
DB00087	target	Humans	unknown		P02747	17139284|17016423
DB00087	target	Humans	unknown		P08637	15217834
DB00087	target	Humans	unknown		P12314	17139284|17016423
DB00087	target	Humans	unknown		P12318	15217834
DB00087	target	Humans	unknown		P31994	17139284|17016423
DB00087	target	Humans	unknown		P31995	17139284|17016423
DB00089	target	Humans	yes	other/unknown	Q04609	11016653|15882479|9508077|9792131|11752352
DB00091	target	Humans	yes	binder	P49069	20927389|20674565|20602248|20637127|24682697|1502562
DB00091	target	Humans	yes	inhibitor	Q96LZ3	20674565|23468591|7529175
DB00091	target	Humans	yes	inhibitor|binder	P62937	17461417|17609268|20637127|20368803
DB00091	target	Humans	yes	binder	P30405	2970139|2026447|1896075
DB00091	enzyme	Humans	unknown	substrate	P20815	20368718|23354298|23922006
DB00091	enzyme	Humans	unknown	substrate|inhibitor	P08684	10490933|25860376|22205779|2277139|23922006
DB00091	enzyme	Humans	unknown	inhibitor	P33261	17202802
DB00091	enzyme	Humans	unknown	inhibitor	P10635	17202802
DB00091	transporter	Humans	unknown	substrate|inhibitor	P08183	8842452|9333100|10227700|23922006
DB00091	transporter	Humans	unknown	substrate|inhibitor	O95342	12404239|10648470|27000539
DB00091	transporter	Humans	unknown	inhibitor	Q12908	9458785|18668439
DB00091	transporter	Humans	unknown	inhibitor	Q14973	9486191|18668439
DB00091	transporter	Humans	unknown	substrate|inhibitor	Q4U2R8	9374486|27290622|29051147|25860376
DB00091	transporter	Humans	unknown	substrate|inhibitor	Q5T3U5	12527806
DB00091	transporter	Humans	unknown	inhibitor	Q92887	15816878|12967592
DB00091	transporter	Humans	unknown	inhibitor	Q9UNQ0	11437380|25860376
DB00091	transporter	Humans	unknown	substrate|inhibitor	Q9Y6L6	12538813|14530907|23179780
DB00091	transporter	Humans	no	inhibitor	Q9NPD5	25860376|22240838|23179780
DB00092	target	Humans	yes	inhibitor	P06729	17555598|11970990|17403057|14968366|12795770|11752352
DB00092	target	Humans	unknown		P00736	17139284|17016423
DB00092	target	Humans	unknown		P02745	17139284|17016423
DB00092	target	Humans	unknown		P02746	17139284|17016423
DB00092	target	Humans	unknown		P02747	17139284|17016423
DB00092	target	Humans	unknown		P08637	17139284|17016423|11970990|12795239
DB00092	target	Humans	unknown		P12314	17139284|17016423
DB00092	target	Humans	unknown		P12318	17139284|17016423
DB00092	target	Humans	unknown		P31994	17139284|17016423
DB00092	target	Humans	unknown		P31995	17139284|17016423
DB00092	target	Humans	unknown		O75015	11970990
DB00093	target	Humans	yes	agonist	P37288	17139284|17016423|18655903|11752352
DB00094	target	Humans	yes	agonist	P23945	11299519|7755615|2108722|8319832|8070368|11752352
DB00095	target	Humans	yes	antibody	P20701	19170413|17053736|11752352
DB00095	target	Humans	unknown		O75015	17139284|17016423
DB00095	target	Humans	unknown		P00736	17139284|17016423
DB00095	target	Humans	unknown		P02745	17139284|17016423
DB00095	target	Humans	unknown		P02746	17139284|17016423
DB00095	target	Humans	unknown		P02747	17139284|17016423
DB00095	target	Humans	unknown		P08637	17139284|17016423
DB00095	target	Humans	unknown		P12314	17139284|17016423
DB00095	target	Humans	unknown		P12318	17139284|17016423
DB00095	target	Humans	unknown		P31994	17139284|17016423
DB00095	target	Humans	unknown		P31995	17139284|17016423
DB00097	target	Humans	yes		P22888	15967102|12606382|17059863
DB00097	target	Humans	yes	binder	P23945	9027352|17059863|20374735|11752352
DB00098	target	Humans	unknown	inhibitor	P06126	17139284|17016423|11752352
DB00098	target	Humans	yes	antagonist	Q95460	12586600
DB00098	target	Humans	yes		P20701	12586600
DB00098	target	Humans	yes	binder	P42081	12586600
DB00098	target	Humans	yes		P31994	12586600
DB00098	target	Humans	yes		P01730	12586600
DB00098	target	Humans	yes		P05556	12586600
DB00098	target	Humans	yes		P06756	12586600
DB00098	target	Humans	yes		P05106	12586600
DB00099	target	Humans	yes	stimulator	Q99062	17001306|17494858|15949269|17127322|16033816
DB00099	target	Humans	unknown	other/unknown	P08246	14657210|16245075|17311988|17475913|15353486|12393522
DB00100	target	Humans	yes	activator	P00742	1391956|8083242|9079657|10933803|10919405|11752352|659613
DB00100	target	Humans	yes	ligand	P03951	10593931|11342438|659613
DB00100	target	Humans	yes	ligand	P08709	10192655|10381508|10498586|10617609|10938981|659613
DB00100	target	Humans	yes	cofactor	P00451	11150722|12719776|12826528|14598591|16476097|659613
DB00100	target	Humans	unknown		P00734	10498586|10499904|10499905|10648407|11019961
DB00100	target	Humans	unknown		Q07954	17139284|17016423|12522212
DB00100	target	Humans	unknown		P38435	14660587|9115224|8506307|9748333|9141486
DB00102	target	Humans	yes		P09619	18686746
DB00102	target	Humans	unknown		P16234	10070317|7665222|12632922|1702511|14506245
DB00102	target	Humans	unknown		P01023	1697862|7541796
