drugbank_id	category	organism	known_action	actions	uniprot_id	pubmed_ids
DB00001	target	Humans	yes	inhibitor	P00734	10505536|10912644|11055889|11467439|11807012|11752352
DB00002	target	Humans	yes	antagonist	P00533	10480573|10601294|10628369|11408594|11431346|11752352
DB00002	target	Humans	unknown		O75015	16336752
DB00002	target	Humans	unknown		P00736	17139284|17016423
DB00002	target	Humans	unknown		P02745	17139284|17016423
DB00002	target	Humans	unknown		P02746	17139284|17016423
DB00002	target	Humans	unknown		P02747	17139284|17016423
DB00002	target	Humans	unknown		P08637	17139284|17016423|17704420
DB00002	target	Humans	unknown		P09871	17139284|17016423
DB00002	target	Humans	unknown		P12314	7547242
DB00002	target	Humans	unknown		P12318	17139284|17016423|17704420
DB00002	target	Humans	unknown		P31994	17139284|17016423
DB00002	target	Humans	unknown		P31995	17139284|17016423
DB00004	target	Humans	yes	binder	P01589	17139284|17016423|2786749|3124610|18684057|17187516|11752352
DB00004	target	Humans	yes	agonist	P14784	15811959|16516670|18684057|17187516|11752352
DB00004	target	Humans	unknown		P31785	15811959|16516670|11707860
DB00005	target	Humans	yes	antibody	P01375	10206649|10338381|10357816|10375846|10405518|11752352
DB00005	target	Humans	unknown		P20333	11752352
DB00005	target	Humans	unknown		P12314	17139284|17016423
DB00005	target	Humans	unknown		P08637	15457442|15526004
DB00005	target	Humans	unknown		P12318	15457442|15526004
DB00005	target	Humans	unknown		P31994	17139284|17016423
DB00005	target	Humans	unknown		P31995	10800083|7535196
DB00005	target	Humans	unknown		P01374	11302411|1328224|15005015|15033655|15695296
DB00005	target	Humans	unknown		O75015	10800083|17387033|15457442|15526004
DB00005	target	Humans	unknown		P09871	17139284|17016423
DB00005	target	Humans	unknown		P00736	17139284|17016423
DB00005	target	Humans	unknown		P02745	17139284|17016423
DB00005	target	Humans	unknown		P02746	17139284|17016423
DB00005	target	Humans	unknown		P02747	17139284|17016423
DB00006	target	Humans	yes	inhibitor	P00734	11060732|11504570|11833835|11923794|11929334|11752352
DB00006	enzyme	Humans	unknown	inhibitor	P05164	18701766
DB00007	target	Humans	yes	agonist	P30968	16809153|10687850|9625809|15758569|10394541
DB00007	enzyme	Humans	no	substrate	P08684	17922273
DB00008	target	Humans	yes	agonist	P48551	15898717|16953837|19955815|11752352
DB00008	target	Humans	yes	agonist	P17181	15898717|16953837|19955815|11752352
DB00008	enzyme	Humans	unknown	inhibitor	P05177	11910269
DB00009	target	Humans	yes	activator	P00747	18673235|19436656|17963464|11752352
DB00009	target	Humans	yes		P02671	18673235|19436656|17963464
DB00009	target	Humans	unknown		Q03405	17139284|17016423
DB00009	target	Humans	unknown		P05121	17963464
DB00010	target	Humans	yes	agonist	Q02643	14499707|11752352
DB00011	target	Humans	yes	agonist	P48551	17139284|17016423|10822464|19955815|11752352
DB00011	target	Humans	yes	agonist	P17181	17139284|17016423|10822464|19955815|11752352
DB00011	enzyme	Humans	unknown	inhibitor	P05177	9064483
DB00012	target	Humans	yes	agonist	P19235	16505108|17575216|11752352
DB00013	target	Humans	yes	activator	P00747	12658774|12666133|12719778|12720300|12745435|11752352
DB00013	target	Humans	yes	inducer|modulator	Q03405	12615913|12817472|14679304|14688365|14720519|17327908
DB00013	target	Humans	yes	substrate|inducer	P05121	12579271|12642587|12709915|12745435|12785198
DB00013	target	Humans	yes	substrate|inducer	P05120	15277569|15351849|15640330|15944795|16327990
DB00013	target	Humans	unknown	substrate	P05154	17434507|17253188|14645112
DB00013	target	Humans	unknown	substrate	P98164	17139284|17016423|8241286|1280065|7959795
DB00013	target	Humans	unknown	substrate	Q9Y5Y6	14747469|12815039
DB00013	target	Humans	unknown	ligand	P14543	17139284|17016423|1499567
DB00013	enzyme	Humans	unknown	substrate	P39900	12195704
DB00014	target	Humans	yes	agonist	P22888	17139284|17016423|20053189
DB00014	target	Humans	yes	agonist	P30968	20053189
DB00015	target	Humans	yes	activator	P00747	17963464|18673235|19436656|11752352
DB00015	target	Humans	yes		P02671	18673235|19436656|17963464
DB00015	target	Humans	unknown		Q03405	17139284|17016423
DB00015	target	Humans	unknown		P05121	17963464
DB00016	target	Humans	yes	agonist	P19235	16505108|17575216|11752352
