UniProt ID	Drug ID
P19113	DB00114
Q9UI32	DB00142
P00488	DB01839
P35228	DB00125
P37059	DB00157
P06737	DB00114
Q13423	DB00157
P11766	DB00157
P48728	DB00116
P50213	DB00157
Q9P0X4	DB00381
P30542	DB00193
P00519	DB00171
P12319	DB00043
P00451	DB00055
P23219	DB00154
P35626	DB00171
P21728	DB00246
Q9BZW2	DB00139
P35916	DB00398
P51168	DB00384
P02452	DB00048
Q9H4B7	DB00309
P56181	DB00157
O95363	DB00120
P17948	DB00398
Q9UPY5	DB00138
Q9UBM7	DB00157
Q9BTZ2	DB00162
P06213	DB00030
O60931	DB00138
P04049	DB00398
O00217	DB00157
Q9Y285	DB00120
P29401	DB09130
Q9Y234	DB00166
P12259	DB00055
O00764	DB00147
P24530	DB00559
Q15738	DB00157
P20309	DB00185
P30613	DB00119
Q9H2X9	DB00761
P00734	DB00001
P30273	DB00895
P13716	DB00855
P14060	DB00157
O43246	DB00123
P48167	DB00145
P14780	DB00143
P26439	DB00157
P13674	DB00126
P21554	DB00470
P30556	DB00177
P49591	DB00133
P34995	DB00297
P10515	DB00157
P11836	DB00073
P29475	DB00155
P07195	DB00157
P24752	DB00795
O15496	DB05737
Q07869	DB00132
Q9HCC0	DB00121
Q9UDR5	DB00142
P51843	DB00755
P10912	DB00052
Q9UDX3	DB00163
P00492	DB01033
P28702	DB00210
Q9Y600	DB00114
Q8IWU9	DB12095
O95299	DB00157
P12277	DB00148
P31358	DB00087
Q13639	DB00604
P02792	DB00893
P42357	DB00117
Q02809	DB00126
P14618	DB00119
O43920	DB00157
Q12809	DB00176
Q969P6	DB00762
P11229	DB00185
O75380	DB00157
Q9Y289	DB00166
P34972	DB00470
Q15800	DB00157
Q8N8R3	DB00583
P11177	DB00119
Q9NS75	DB00716
Q9BYZ2	DB00157
P17707	DB00118
Q9BYV1	DB00114
Q14894	DB05235
P35610	DB00973
O76082	DB00583
P13688	DB00113
P51606	DB00141
Q9H244	DB00208
P21673	DB04633
P25021	DB00272
P06746	DB00987
P07741	DB00173
Q16647	DB00812
Q05940	DB00182
O95477	DB00171
P17752	DB00360
P03372	DB00255
P08700	DB01025
Q04828	DB00157
P31937	DB00157
P24046	DB00231
P69905	DB00358
P80365	DB00157
P10275	DB00255
P05091	DB00157
P22888	DB00014
P49419	DB00157
Q8WY07	DB00123
P19404	DB00157
P09172	DB00126
Q9Y4W6	DB00171
Q9UHW9	DB00761
P35498	DB00252
P07437	DB00361
P13631	DB00210
P21918	DB00246
Q9H3N8	DB00321
P36888	DB00398
P23368	DB00157
P07864	DB00157
Q9Y697	DB00114
P51649	DB00139
O00180	DB00308
Q9NYK1	DB00724
Q99720	DB00321
Q9H3S4	DB00152
P50747	DB00121
P00387	DB00157
O43175	DB00157
Q02218	DB00157
P15692	DB00112
P20132	DB00114
P37288	DB00035
P48506	DB00142
P49916	DB00290
O00483	DB00157
Q9UJ68	DB04447
P12532	DB00148
P08588	DB00127
O95298	DB00157
O15403	DB00119
Q02338	DB00157
P31040	DB00139
Q9Y5Y9	DB00281
P36021	DB00119
P23786	DB00583
P00367	DB00142
Q9NVS9	DB00114
O76074	DB00203
P20273	DB04958
P56937	DB00157
P48637	DB00143
P45381	DB00128
P07814	DB00142
Q8WTV0	DB00144
P37088	DB00384
O75489	DB00157
Q9UI33	DB00909
P48448	DB00157
P14061	DB00157
O15374	DB00119
P03897	DB00157
Q14524	DB00192
Q15046	DB00123
P18858	DB00290
Q9Y619	DB00129
Q13564	DB00171
P30968	DB00007
Q15031	DB00149
P09619	DB00102
P10826	DB00210
Q09428	DB00171
P21695	DB00157
P08185	DB01593
O95069	DB00204
P00747	DB00009
P30825	DB00123
P56556	DB00157
P16442	DB02196
P37231	DB00132
P00742	DB00025
Q9UBS5	DB00181
P98194	DB00228
P08243	DB00128
P16083	DB00157
P12821	DB00178
P26640	DB00161
O15239	DB00157
P32322	DB00157
P07327	DB00157
P23381	DB00150
P54710	DB00606
P54577	DB00135
Q02252	DB00157
P55157	DB01094
P26639	DB00156
O75746	DB00128
Q15758	DB00174
P20061	DB00200
P06858	DB06439
P05121	DB00009
P29275	DB00201
P10109	DB00648
O43674	DB00157
P30038	DB00157
O96000	DB00157
P10415	DB01050
P08912	DB00246
P09917	DB00163
P30531	DB00906
P00491	DB00242
P14679	DB00157
P80404	DB00114
Q9Y478	DB00131
P10745	DB11948
O76054	DB00163
Q9BXI2	DB00129
P15291	DB00141
P40939	DB00157
P49902	DB00171
P35354	DB00154
P29474	DB00125
Q04771	DB00171
P08473	DB00616
P00915	DB00232
P13995	DB00116
Q08828	DB00131
P00797	DB00212
P14207	DB00158
P03901	DB00157
Q16773	DB00114
P07766	DB00075
Q9Y666	DB00761
Q9UJS0	DB00128
Q96GD0	DB00114
P01008	DB00407
P55011	DB00214
O43676	DB00157
Q99624	DB00117
P05089	DB00129
P49189	DB00157
P08913	DB00246
Q5T1J1	DB00514
P08908	DB00216
P34897	DB00114
P30518	DB00035
P49588	DB00160
O95168	DB00157
Q13258	DB00716
Q6ZMR3	DB00157
Q00796	DB00157
P09455	DB00459
Q02641	DB00308
P31153	DB00118
Q16795	DB00157
P00480	DB00129
O75251	DB00157
P16050	DB02709
O14727	DB00171
P46098	DB00333
O43677	DB00157
P02753	DB00755
P10828	DB00279
P21549	DB00114
Q99714	DB00157
P47872	DB09532
Q9NRX3	DB00157
Q8IVH4	DB00115
P49915	DB00142
P00918	DB00232
P35520	DB00114
P04818	DB00293
P23921	DB00242
P08620	DB00686
P49286	DB00980
Q16798	DB00157
P28845	DB00157
P00374	DB00157
P34896	DB00114
P08709	DB00036
P00395	DB02659
P37058	DB00157
P02766	DB01593
O75438	DB00157
Q9UDX4	DB00163
Q9BXJ7	DB00200
P25098	DB00171
P18825	DB00246
P05093	DB00157
P16471	DB00052
P39086	DB00142
P50440	DB00129
P03923	DB00157
P20648	DB00213
Q9NR19	DB00131
P19801	DB00594
P78348	DB00594
P0DMS8	DB00201
