prots	stukalov-et-al-ppi
Q04721	1
Q04760	1
Q04771	1
Q04837	1
Q04941	1
Q05639	1
Q05932	1
Q06124	1
Q07065	1
Q08334	1
Q08345	1
Q08AE8	1
Q10472	1
Q12770	1
Q12846	1
Q12864	1
Q12907	1
Q12913	1
Q12959	1
Q13021	1
Q13145	1
Q13190	1
Q13232	1
Q13283	1
Q13315	1
Q13332	1
Q13443	1
Q13454	1
Q13488	1
Q13505	1
Q13535	1
Q13596	1
Q13608	1
Q13636	1
Q13637	1
Q13641	1
Q13772	1
Q13873	1
Q13948	1
Q14019	1
Q14114	1
Q14318	1
Q14344	1
Q14534	1
Q14574	1
Q14596	1
Q14728	1
Q14746	1
Q14766	1
Q14789	1
Q14914	1
Q15006	1
Q15012	1
Q15025	1
Q15036	1
Q15043	1
Q15054	1
Q15075	1
Q15125	1
Q15181	1
Q15257	1
Q15361	1
Q15363	1
Q15382	1
Q15386	1
Q15392	1
Q15582	1
Q15691	1
Q15751	1
Q15800	1
Q15813	1
Q15818	1
Q15836	1
Q15904	1
Q16236	1
Q16394	1
Q16563	1
Q16585	1
Q16658	1
Q16678	1
Q16706	1
Q16719	1
Q16739	1
Q29983	1
Q29RF7	1
Q2TAA5	1
Q30201	1
Q3LXA3	1
Q3MIP1	1
Q3MIR4	1
Q3MJ13	1
Q3SY17	1
Q4KMQ2	1
Q53H96	1
Q53HI1	1
Q53R41	1
Q53S58	1
Q53TN4	1
Q56VL3	1
Q58EX7	1
Q58FF6	1
Q5BJH7	1
Q5HYI8	1
Q5J8M3	1
Q5JRX3	1
Q5SRE5	1
Q5SWX8	1
Q5T3U5	1
Q5T4D3	1
Q5U3C3	1
Q5UCC4	1
Q5UIP0	1
Q5VT66	1
Q5VV43	1
Q5VW32	1
Q5VW36	1
Q5W0Z9	1
Q5XKP0	1
Q63HN8	1
Q643R3	1
Q658P3	1
Q68DH5	1
Q6IBW4	1
Q6ICG6	1
Q6N075	1
Q6NT16	1
Q6NTF9	1
Q6NUQ4	1
Q6NUS6	1
Q6NUT2	1
Q6NZ63	1
Q6NZI2	1
Q6P1A2	1
Q6P1Q0	1
Q6P3X3	1
Q6P4E1	1
Q6P9B6	1
Q6P9B9	1
Q6PIU2	1
Q6PJ61	1
Q6PJF5	1
Q6PJG9	1
Q6Q1S1	1
Q6SZW1	1
Q6U841	1
Q6UB35	1
Q6UWP7	1
Q6UX53	1
Q6UX65	1
Q6UXM1	1
Q6UXV4	1
Q6Y1H2	1
Q6YHU6	1
Q6ZMJ2	1
Q6ZPD9	1
Q6ZRP7	1
Q6ZT21	1
Q70CQ2	1
Q75QN2	1
Q7L1W4	1
Q7RTP0	1
Q7Z2K6	1
Q7Z3C6	1
Q7Z3D6	1
Q7Z434	1
Q7Z4F1	1
Q7Z4H7	1
Q7Z4R8	1
Q7Z5G4	1
Q7Z7H5	1
Q86SJ2	1
Q86SQ4	1
Q86SR1	1
Q86TG7	1
Q86UA1	1
Q86UB9	1
Q86UL3	1
Q86UT6	1
Q86VL8	1
Q86VP1	1
Q86VR2	1
Q86VS8	1
Q86VZ4	1
Q86W50	1
Q86X29	1
Q86XI2	1
Q86XS8	1
Q86Y82	1
Q8IUH4	1
Q8IUR0	1
Q8IUW5	1
Q8IV08	1
Q8IVQ6	1
Q8IWK6	1
Q8IWR1	1
Q8IWT6	1
Q8IXK2	1
Q8IXL6	1
Q8IY22	1
Q8IY95	1
Q8IZQ1	1
Q8N0U8	1
Q8N1F7	1
Q8N1F8	1
Q8N1G4	1
Q8N201	1
Q8N2H3	1
Q8N2U0	1
Q8N357	1
Q8N442	1
Q8N490	1
Q8N4L2	1
Q8N511	1
Q8N5G2	1
Q8N614	1
Q8N697	1
Q8N6M3	1
Q8N9R8	1
Q8NB49	1
Q8NBI6	1
Q8NBJ4	1
Q8NBJ7	1
Q8NBN3	1
Q8NBX0	1
Q8NC42	1
Q8NC44	1
Q8NC54	1
Q8NC67	1
Q8NCG7	1
Q8NCH0	1
Q8NCM8	1
Q8NCN5	1
Q8NDA8	1
Q8NE01	1
Q8NFQ8	1
Q8NFT2	1
Q8NG11	1
Q8NHH9	1
Q8NHP6	1
Q8NHS3	1
Q8NHV4	1
Q8NI17	1
Q8NI22	1
Q8TAD4	1
Q8TAT6	1
Q8TB37	1
Q8TBA6	1
Q8TBM7	1
Q8TCZ2	1
Q8TD19	1
Q8TD43	1
Q8TDX6	1
Q8TED1	1
Q8TEQ8	1
Q8WTS1	1
Q8WTV0	1
Q8WTW3	1
Q8WUA8	1
Q8WUD6	1
Q8WUK0	1
Q8WUM9	1
Q8WV83	1
Q8WVM8	1
Q8WVQ1	1
Q8WW12	1
Q8WWC4	1
Q8WXA3	1
Q8WY22	1
Q8WZA1	1
Q92187	1
Q92536	1
Q92538	1
Q92544	1
Q92597	1
Q92629	1
Q92633	1
Q92692	1
Q92791	1
Q92797	1
Q92820	1
Q92859	1
Q92968	1
Q93084	1
Q969E2	1
Q969N2	1
Q969V5	1
Q969W9	1
Q96A54	1
Q96AA3	1
Q96AD5	1
Q96AJ9	1
Q96B96	1
Q96BW9	1
Q96C19	1
Q96CB8	1
Q96CM8	1
Q96CP7	1
Q96D31	1
Q96D53	1
Q96ED9	1
Q96ES6	1
Q96ET8	1
Q96F25	1
Q96G23	1
Q96G97	1
Q96GC9	1
Q96GQ5	1
Q96HA4	1
Q96HP0	1
Q96HU1	1
Q96HV5	1
Q96HW7	1
Q96I59	1
Q96J02	1
Q96JB2	1
Q96JB5	1
Q96JC1	1
Q96JI7	1
Q96JJ3	1
Q96KP4	1
Q96L58	1
Q96L92	1
Q96LD4	1
Q96LT4	1
Q96MC5	1
Q96MH6	1
Q96MT1	1
Q96MV1	1
Q96NT0	1
Q96NT5	1
Q96NU0	1
Q96PD2	1
Q96Q45	1
Q96Q80	1
Q96QD8	1
Q96RL7	1
Q96RQ1	1
Q96S52	1
Q96S66	1
Q96SQ9	1
Q99426	1
Q99500	1
Q99523	1
Q99541	1
Q99595	1
Q99650	1
Q99685	1
Q99720	1
Q99747	1
Q99797	1
Q99805	1
Q99999	1
Q9BQE4	1
Q9BRK5	1
Q9BRR6	1
Q9BRX8	1
Q9BSE5	1
Q9BSR8	1
Q9BT67	1
Q9BT76	1
Q9BTU6	1
Q9BTX1	1
Q9BUB7	1
Q9BUP3	1
Q9BVG9	1
Q9BVK2	1
Q9BVK6	1
Q9BVT8	1
Q9BVX2	1
Q9BW72	1
Q9BX79	1
Q9BX95	1
Q9BXB1	1
Q9BXI2	1
Q9BXT2	1
Q9BXW9	1
Q9BY44	1
Q9BYC5	1
Q9BYN0	1
Q9BYW2	1
Q9BZ76	1
Q9BZD2	1
Q9BZG1	1
Q9C029	1
Q9C0B5	1
Q9C0C4	1
Q9C0H2	1
Q9GZP1	1
Q9H019	1
Q9H0H0	1
Q9H0M0	1
Q9H0P0	1
Q9H0V1	1
Q9H0V9	1
Q9H0X4	1
Q9H1C4	1
Q9H1Y3	1
Q9H269	1
Q9H270	1
Q9H2G2	1
Q9H2J7	1
Q9H2U2	1
Q9H2V7	1
Q9H3N1	1
Q9H3R2	1
Q9H490	1
Q9H4A4	1
Q9H5J4	1
Q9H6E5	1
Q9H6K4	1
Q9H6R6	1
Q9H6V9	1
Q9H7D0	1
Q9H7F0	1
Q9H7M9	1
Q9H813	1
Q9H8G2	1
Q9H8Y8	1
Q9H9P8	1
Q9H9S5	1
Q9HAV4	1
Q9HBH5	1
Q9HBJ8	1
Q9HBM0	1
Q9HC56	1
Q9HCU4	1
Q9HD20	1
Q9HD45	1
Q9NP73	1
Q9NPR2	1
Q9NQC3	1
Q9NQS3	1
Q9NQX7	1
Q9NRC1	1
Q9NRK6	1
Q9NRP0	1
Q9NRW7	1
Q9NRX4	1
Q9NRZ7	1
Q9NSU2	1
Q9NU22	1
Q9NU53	1
Q9NUE0	1
Q9NUQ9	1
Q9NUT2	1
Q9NV58	1
Q9NV66	1
Q9NV92	1
Q9NVI1	1
Q9NWD8	1
Q9NWS8	1
Q9NX14	1
Q9NXK6	1
Q9NYG2	1
Q9NYP7	1
Q9NYU1	1
Q9NZJ7	1
Q9NZM1	1
Q9NZM5	1
Q9NZT1	1
Q9NZU0	1
Q9NZU5	1
Q9NZV1	1
Q9P0I2	1
Q9P244	1
Q9P253	1
Q9UBF2	1
Q9UBG0	1
Q9UBN6	1
Q9UBQ6	1
Q9UBU6	1
Q9UBV7	1
Q9UDX5	1
Q9UG56	1
Q9UGH3	1
Q9UGQ3	1
Q9UHF1	1
Q9UHJ9	1
Q9UHN6	1
Q9UHW9	1
Q9UI09	1
Q9UI26	1
Q9UIW2	1
Q9UKM7	1
Q9UL15	1
Q9UL25	1
Q9ULT6	1
Q9UM47	1
Q9UMX0	1
Q9UN70	1
Q9UN74	1
Q9UN75	1
Q9UN86	1
Q9UNE7	1
Q9UNN8	1
Q9UNS1	1
Q9UP95	1
Q9UPQ8	1
Q9UQR1	1
Q9Y227	1
Q9Y264	1
Q9Y284	1
Q9Y287	1
Q9Y2C4	1
Q9Y2G1	1
Q9Y2H0	1
Q9Y2L1	1
Q9Y2U8	1
Q9Y2U9	1
Q9Y2W3	1
Q9Y394	1
Q9Y397	1
Q9Y3A3	1
Q9Y3B3	1
Q9Y3E5	1
Q9Y3P4	1
Q9Y426	1
Q9Y487	1
Q9Y4D7	1
Q9Y4F5	1
Q9Y4P3	1
Q9Y561	1
Q9Y5I4	1
Q9Y5Y2	1
Q9Y5Z9	1
Q9Y617	1
Q9Y653	1
Q9Y666	1
Q9Y672	1
Q9Y673	1
Q9Y6A1	1
Q9Y6D0	1
Q9Y6D5	1
Q9Y6D6	1
Q9Y6M5	1
Q9Y6R1	1
