prots	stukalov-et-al-ppi
A0MZ66	1
A0PJW6	1
A1L3X0	1
A4D1U4	1
A6NFN3	1
A6NGB7	1
A6NNL5	1
B2RUZ4	1
B7ZAP0	1
B7ZAQ6	1
O00151	1
O00165	1
O00186	1
O00217	1
O00220	1
O00238	1
O00268	1
O00308	1
O00391	1
O00400	1
O00461	1
O00482	1
O14653	1
O14656	1
O14657	1
O14662	1
O14684	1
O14763	1
O14828	1
O14981	1
O15063	1
O15121	1
O15126	1
O15127	1
O15155	1
O15260	1
O15270	1
O15287	1
O15305	1
O15321	1
O15354	1
O15374	1
O15400	1
O15403	1
O43156	1
O43194	1
O43251	1
O43264	1
O43291	1
O43292	1
O43306	1
O43402	1
O43488	1
O43493	1
O43505	1
O43520	1
O43556	1
O43570	1
O43592	1
O43752	1
O43761	1
O43826	1
O43852	1
O43865	1
O43909	1
O43929	1
O60238	1
O60271	1
O60291	1
O60318	1
O60462	1
O60499	1
O60503	1
O60518	1
O60524	1
O60613	1
O60674	1
O60683	1
O60749	1
O60779	1
O60830	1
O60831	1
O60941	1
O75063	1
O75121	1
O75306	1
O75309	1
O75325	1
O75354	1
O75379	1
O75390	1
O75400	1
O75436	1
O75439	1
O75448	1
O75509	1
O75534	1
O75674	1
O75841	1
O75844	1
O75874	1
O75886	1
O75947	1
O75973	1
O75976	1
O76024	1
O76064	1
O76082	1
O94766	1
O94788	1
O94822	1
O94826	1
O94829	1
O94919	1
O94923	1
O95150	1
O95159	1
O95164	1
O95249	1
O95260	1
O95297	1
O95299	1
O95361	1
O95395	1
O95476	1
O95716	1
O95759	1
O95772	1
O95810	1
O95832	1
O95864	1
O95870	1
P00167	1
P00403	1
P00749	1
P00846	1
P01031	1
P01130	1
P01137	1
P01891	1
P02671	1
P02675	1
P03905	1
P04035	1
P04114	1
P04181	1
P04626	1
P04920	1
P05121	1
P05165	1
P05166	1
P06576	1
P06744	1
P07093	1
P07225	1
P07858	1
P07954	1
P08133	1
P08236	1
P08240	1
P08581	1
P08758	1
P09936	1
P09958	1
P0C6X7	1
P0DI83	1
P0DMM9	1
P0DMV8	1
P10321	1
P10586	1
P10620	1
P10909	1
P11021	1
P11117	1
P11362	1
P11498	1
P11586	1
P11717	1
P11908	1
P13164	1
P13747	1
P13984	1
P14209	1
P14314	1
P14550	1
P15121	1
P15151	1
P15260	1
P15311	1
P15313	1
P15514	1
P15622	1
P16070	1
P16152	1
P16188	1
P16219	1
P16422	1
P17302	1
P17693	1
P17931	1
P17936	1
P18433	1
P19438	1
P19440	1
P19634	1
P20339	1
P21359	1
P21399	1
P21964	1
P22692	1
P23229	1
P23634	1
P23919	1
P24390	1
P24539	1
P24752	1
P25445	1
P25686	1
P26006	1
P26038	1
P26232	1
P27037	1
P27144	1
P28068	1
P28328	1
P28827	1
P28907	1
P29317	1
P29323	1
P29353	1
P30046	1
P30049	1
P30101	1
P30501	1
P30519	1
P30530	1
P30622	1
P30990	1
P31641	1
P31948	1
P32856	1
P32970	1
P35221	1
P35670	1
P36871	1
P36894	1
P36896	1
P36897	1
P36941	1
P37173	1
P37235	1
P38646	1
P40189	1
P40818	1
P40925	1
P41227	1
P41273	1
P42126	1
P42226	1
P42695	1
P42830	1
P42892	1
P43304	1
P45877	1
P45954	1
P46531	1
P46977	1
P48449	1
P48506	1
P48723	1
P48960	1
P49116	1
P49257	1
P49590	1
P49754	1
P49755	1
P49773	1
P49810	1
P49840	1
P50148	1
P50443	1
P50851	1
P50895	1
P51149	1
P51151	1
P51153	1
P51511	1
P51572	1
P51617	1
P51636	1
P51649	1
P51690	1
P51798	1
P51809	1
P52306	1
P52756	1
P52788	1
P53004	1
P53367	1
P54707	1
P54710	1
P54753	1
P54868	1
P54920	1
P56381	1
P56749	1
P58546	1
P58658	1
P59595	1
P60033	1
P60059	1
P60468	1
P60520	1
P60604	1
P60880	1
P61006	1
P61019	1
P61020	1
P61106	1
P61165	1
P61769	1
P61803	1
P61812	1
P62745	1
P62820	1
P62891	1
P62942	1
P63027	1
P78381	1
P78382	1
P78527	1
P78536	1
P78545	1
P78552	1
P83436	1
P98172	1
P98187	1
P98198	1
Q00688	1
Q00765	1
Q01518	1
Q01813	1
Q01973	1
Q02297	1
Q03135	1
Q03169	1
