prots	HSV-1
A0A087WYF9	1
A0A181ZFL8	1
A0A181ZGE6	1
A0A181ZH23	1
A0A181ZH46	1
A0A181ZHB1	1
A0A181ZHJ5	1
A0A181ZHX9	1
A0A1P7U110	1
A0A2R8YG02	1
A0A410THK1	1
A0A494C045	1
A2Q6L9	1
A4GEB9	1
A6NMQ1	1
B7ZLQ5	1
B9VQC7	1
B9VQE2	1
B9VQG6	1
B9VQJ7	1
D2XQF2	1
D3XDN9	1
D3XDP0	1
D3XDS0	1
D3YPB8	1
D3YPH1	1
D3YPK7	1
F8REB8	1
F8RFG6	1
G8H8D9	1
G8H8M3	1
G8HBB2	1
G8HBC6	1
G8HBD6	1
G8HBD8	1
G8HBF6	1
G8HBG0	1
G8HBG2	1
G8HBG4	1
G8HBG7	1
G8HBH1	1
G8HBI1	1
G8HBI5	1
H2A1V3	1
H3BLV9	1
L0N4F0	1
L0N5H7	1
L0N688	1
L0N6B0	1
O00308	1
O00459	1
O00585	1
O09800	1
O09802	1
O14686	1
O14770	1
O14807	1
O14933	1
O14964	1
O14981	1
O15162	1
O15392	1
O15503	1
O40944	1
O43557	1
O43559	1
O43739	1
O43805	1
O43865	1
O60262	1
O60264	1
O60341	1
O60437	1
O60506	1
O60519	1
O60760	1
O75177	1
O75533	1
O75558	1
O75828	1
O75909	1
O76095	1
O95153	1
O95251	1
O95273	1
O95602	1
O95639	1
O95989	1
O95990	1
O96006	1
P01100	1
P02511	1
P02545	1
P03176	1
P03220	1
P04259	1
P04288	1
P04289	1
P04291	1
P04293	1
P04294	1
P04295	1
P04296	1
P04485	1
P04487	1
P04488	1
P04637	1
P05114	1
P05408	1
P06028	1
P06477	1
P06480	1
P06481	1
P06484	1
P06485	1
P06486	1
P06487	1
P06491	1
P06492	1
P07307	1
P07339	1
P08237	1
P08392	1
P08393	1
P08543	1
P08567	1
P08708	1
P09874	1
P09914	1
P0C7W6	1
P0CK53	1
P0DJI8	1
P0DPB6	1
P10186	1
P10187	1
P10188	1
P10191	1
P10192	1
P10193	1
P10200	1
P10201	1
P10202	1
P10204	1
P10205	1
P10209	1
P10210	1
P10211	1
P10212	1
P10215	1
P10216	1
P10217	1
P10218	1
P10219	1
P10220	1
P10221	1
P10224	1
P10225	1
P10227	1
P10228	1
P10229	1
P10230	1
P10231	1
P10233	1
P10235	1
P10238	1
P10239	1
P10240	1
P10398	1
P10914	1
P12004	1
P12268	1
P12956	1
P13056	1
P13164	1
P14210	1
P14555	1
P14770	1
P15328	1
P15531	1
P16152	1
P17028	1
P17980	1
P18859	1
P19419	1
P19652	1
P21673	1
P25101	1
P25398	1
P26641	1
P29992	1
P30536	1
P31151	1
P31260	1
P32888	1
P34903	1
P35372	1
P35914	1
P36382	1
P36955	1
P40616	1
P41240	1
P43355	1
P43360	1
P46779	1
P48454	1
P49458	1
P49736	1
P49763	1
P49959	1
P50402	1
P51808	1
P52789	1
P54132	1
P54920	1
P55198	1
P55209	1
P55774	1
P56181	1
P56378	1
P56545	1
P57105	1
P60022	1
P61769	1
P61978	1
P62136	1
P62263	1
P62304	1
P62736	1
P62857	1
P63167	1
P63172	1
P63241	1
P68331	1
P69892	1
P82980	1
P84103	1
P90475	1
P98066	1
Q01081	1
Q01844	1
Q01850	1
Q02750	1
Q06609	1
Q07021	1
Q08379	1
Q12873	1
Q12893	1
Q12926	1
Q12933	1
Q13137	1
Q13363	1
Q13404	1
Q13426	1
Q13432	1
Q14191	1
Q14203	1
Q14240	1
Q14457	1
Q14512	1
Q14525	1
Q14576	1
Q14683	1
Q15007	1
Q15056	1
Q15223	1
Q15233	1
Q15382	1
Q15393	1
Q15427	1
Q15654	1
Q15661	1
Q15772	1
Q16394	1
Q16621	1
Q16633	1
Q16774	1
Q16864	1
Q49A26	1
Q4J6C6	1
Q53RE8	1
Q5D1E8	1
Q5JR59	1
Q5JUX0	1
Q5SRQ6	1
Q5SW96	1
Q5T7M9	1
Q5VSY0	1
Q5VTL8	1
Q63ZY6	1
Q68DY1	1
Q68G74	1
Q69091	1
Q6NXP0	1
Q6P1W5	1
Q6PDB4	1
Q6QCK7	1
Q6QCL1	1
Q6QCN0	1
Q6QCN7	1
Q6UWN8	1
Q6ZP80	1
Q703C9	1
Q71SY5	1
Q76WT6	1
Q771P6	1
Q77GV9	1
Q7L190	1
Q7L2Z9	1
Q7L4P6	1
Q7L5A8	1
Q7L8A9	1
Q7Z4H7	1
Q7Z7J5	1
Q86SE5	1
Q86VW0	1
Q86XP3	1
Q89268	1
Q8IUH3	1
Q8IYA8	1
Q8IYN2	1
Q8IZ63	1
Q8N0V1	1
Q8N4H5	1
Q8N5R6	1
Q8N682	1
Q8N6Y0	1
Q8N8U2	1
Q8N998	1
