prots	HSV-1
Q8N9W6	1
Q8ND90	1
Q8NEY4	1
Q8NFH5	1
Q8NHQ1	1
Q8TBF5	1
Q8TBM7	1
Q8TBQ9	1
Q8TC12	1
Q8TF71	1
Q8WUH6	1
Q8WVF5	1
Q8WVX3	1
Q8WW12	1
Q8WXF8	1
Q8WYH8	1
Q92478	1
Q92552	1
Q92769	1
Q92882	1
Q92922	1
Q92956	1
Q93009	1
Q93065	1
Q969E8	1
Q969F0	1
Q969G3	1
Q96A35	1
Q96B97	1
Q96BA8	1
Q96BM0	1
Q96EY1	1
Q96EZ8	1
Q96F46	1
Q96FJ2	1
Q96FQ6	1
Q96GM5	1
Q96GY0	1
Q96IJ6	1
Q96IT1	1
Q96JM7	1
Q96MD7	1
Q96S65	1
Q98131	1
Q99541	1
Q99731	1
Q99750	1
Q99962	1
Q9BQ66	1
Q9BRK4	1
Q9BSJ6	1
Q9BUJ2	1
Q9BUL8	1
Q9BUZ4	1
Q9BWF2	1
Q9BWG6	1
Q9BX68	1
Q9BXS6	1
Q9BYM8	1
Q9C005	1
Q9GZV8	1
Q9H000	1
Q9H0A8	1
Q9H0U9	1
Q9H159	1
Q9H2P0	1
Q9H813	1
Q9H9H4	1
Q9HCD5	1
Q9HD23	1
Q9HD26	1
Q9NPF5	1
Q9NQZ6	1
Q9NRA8	1
Q9NRP0	1
Q9NRS6	1
Q9NRW1	1
Q9NRY6	1
Q9NS71	1
Q9NV23	1
Q9NVV9	1
Q9NWS9	1
Q9NX57	1
Q9NXF8	1
Q9NZL4	1
Q9NZM5	1
Q9P1W9	1
Q9UBQ5	1
Q9UK22	1
Q9UKT9	1
Q9UPY8	1
Q9Y2G8	1
Q9Y2M0	1
Q9Y2W2	1
Q9Y3Q8	1
Q9Y4E8	1
Q9Y4K3	1
Q9Y4P9	1
Q9Y5A6	1
Q9Y5B9	1
Q9Y5F6	1
Q9Y6H6	1
Q9Y6K9	1
